,Date,Open,High,Low,Close,Volume
0,7-Apr-17,57.8,58.25,57.55,58.02,6773752
1,6-Apr-17,58.13,58.36,57.73,57.92,9112533
2,5-Apr-17,57.96,59.27,57.81,58.22,13656221
3,4-Apr-17,58.37,58.41,58.01,58.32,6474781
4,3-Apr-17,58.28,58.47,57.89,58.44,8989831
5,31-Mar-17,58.1,58.66,58.06,58.39,9156707
6,30-Mar-17,57.45,58.3,57.42,58.16,8677916
7,29-Mar-17,57.17,57.85,57.13,57.54,7001635
8,28-Mar-17,57.1,57.52,57.02,57.35,8331644
9,27-Mar-17,56.66,57.45,56.46,57.23,8861799
10,24-Mar-17,56.11,57.38,55.9,56.81,15763000
11,23-Mar-17,56.15,56.42,55.78,55.85,7357207
12,22-Mar-17,55.68,56.04,55.51,55.89,8452070
13,21-Mar-17,56.05,56.45,55.48,55.54,8030642
14,20-Mar-17,55.87,56.05,55.51,55.81,7948425
15,17-Mar-17,55.04,56.13,54.95,55.78,15822141
16,16-Mar-17,54.85,54.98,54.66,54.8,8074278
17,15-Mar-17,54.39,54.65,54.09,54.54,8712006
18,14-Mar-17,54.62,54.74,54.19,54.27,7892888
19,13-Mar-17,54.57,54.88,54.4,54.63,9090230
20,10-Mar-17,55.39,55.4,54.42,54.53,13886431
21,9-Mar-17,55.75,55.8,54.81,55.19,17844248
22,8-Mar-17,56.15,56.35,55.54,55.74,13061632
23,7-Mar-17,56.58,56.75,56.02,56.2,10890313
24,6-Mar-17,56.78,56.81,56.33,56.68,9159983
25,3-Mar-17,56.7,57.26,56.7,57.1,7738064
26,2-Mar-17,57.07,57.19,56.85,57.12,6595418
27,1-Mar-17,57.27,57.4,56.94,57.14,7197973
28,28-Feb-17,56.71,57.06,56.55,56.87,8750655
29,27-Feb-17,57.24,57.3,56.66,56.78,7702400
30,24-Feb-17,57.61,57.71,57.14,57.48,7806190
31,23-Feb-17,57.6,57.79,57.39,57.64,7178627
32,22-Feb-17,57.52,57.85,57.35,57.57,7876599
33,21-Feb-17,57.41,57.81,57.4,57.54,8289185
34,17-Feb-17,56.8,57.57,56.71,57.35,11008366
35,16-Feb-17,56.96,56.99,56.53,56.73,8524519
36,15-Feb-17,56.56,56.88,56.3,56.86,6967179
37,14-Feb-17,56.02,56.61,56.02,56.58,8865947
38,13-Feb-17,56.5,56.66,56.03,56.11,8027939
39,10-Feb-17,55.73,56.4,55.56,56.22,11178950
40,9-Feb-17,55.23,56.12,55.21,55.81,11106757
41,8-Feb-17,55.19,55.5,55.1,55.22,11681938
42,7-Feb-17,55.79,55.84,55.18,55.24,9910498
43,6-Feb-17,55.01,55.75,54.9,55.73,13029829
44,3-Feb-17,54.21,55.1,54.01,55.06,14161693
45,2-Feb-17,54.04,54.39,53.85,53.87,15289650
46,1-Feb-17,55.49,55.5,53.81,53.9,18796871
47,31-Jan-17,55.8,55.87,54.88,55.22,14307985
48,30-Jan-17,56.0,56.24,55.58,55.9,13322010
49,27-Jan-17,55.75,56.59,55.65,56.12,28884899
50,26-Jan-17,58.7,59.0,58.26,58.46,12382416
51,25-Jan-17,58.67,58.93,58.45,58.7,7124547
52,24-Jan-17,57.93,58.5,57.76,58.44,10704103
53,23-Jan-17,57.42,57.9,57.15,57.76,6814368
54,20-Jan-17,58.14,58.2,57.41,57.66,7651562
55,19-Jan-17,58.31,58.45,57.72,57.89,7850480
56,18-Jan-17,58.32,58.58,58.03,58.45,7375725
57,17-Jan-17,57.62,58.25,57.41,58.0,5734666
58,13-Jan-17,58.03,58.1,57.65,57.85,4745840
59,12-Jan-17,58.0,58.13,57.64,58.03,4733015
60,11-Jan-17,57.8,58.12,57.59,58.1,6027960
61,10-Jan-17,58.22,58.26,57.83,57.88,6672024
62,9-Jan-17,57.26,58.34,57.25,58.2,12640515
63,6-Jan-17,56.63,57.27,56.08,57.13,8587812
64,5-Jan-17,56.08,56.53,55.81,56.46,7602321
65,4-Jan-17,55.56,56.2,55.38,55.99,7796290
66,3-Jan-17,55.91,55.95,55.04,55.35,7809307
67,30-Dec-16,56.28,56.45,55.4,55.52,8344508
68,29-Dec-16,56.35,56.47,56.14,56.32,3781721
69,28-Dec-16,56.8,56.9,56.25,56.35,5548726
70,27-Dec-16,56.99,57.39,56.81,56.86,4186157
71,23-Dec-16,57.29,57.36,56.89,57.01,4298476
72,22-Dec-16,57.31,57.4,56.72,57.11,6777656
73,21-Dec-16,57.5,57.87,57.41,57.44,5380537
74,20-Dec-16,57.81,58.06,57.32,57.7,4888284
75,19-Dec-16,57.44,57.98,57.44,57.65,6433824
76,16-Dec-16,58.01,58.07,57.56,57.66,10611461
77,15-Dec-16,57.97,58.21,57.52,57.71,11837756
78,14-Dec-16,59.03,59.25,58.6,58.75,9022867
79,13-Dec-16,58.99,59.54,58.66,59.31,8878080
80,12-Dec-16,58.54,58.79,58.34,58.77,7736198
81,9-Dec-16,58.92,58.95,58.43,58.75,7091577
82,8-Dec-16,59.0,59.25,58.41,58.65,7972498
83,7-Dec-16,57.54,58.85,57.45,58.76,9094812
84,6-Dec-16,57.66,57.7,57.14,57.44,7035674
85,5-Dec-16,56.96,57.84,56.96,57.5,7701167
86,2-Dec-16,56.65,57.75,56.57,57.21,16869957
87,1-Dec-16,57.34,58.52,57.2,58.51,12381607
88,30-Nov-16,58.19,58.25,57.86,57.97,9527959
89,29-Nov-16,57.64,58.21,57.5,58.17,10582850
90,28-Nov-16,57.0,57.86,56.76,57.59,8750925
91,25-Nov-16,57.7,57.7,57.26,57.43,3228848
92,23-Nov-16,56.91,57.64,56.9,57.59,8183628
93,22-Nov-16,56.32,57.15,55.88,57.12,10268720
94,21-Nov-16,55.51,56.16,55.51,56.1,8004000
95,18-Nov-16,55.72,56.12,55.42,55.77,8740953
96,17-Nov-16,55.22,55.9,55.06,55.85,8717249
97,16-Nov-16,54.33,55.52,54.26,55.44,10779155
98,15-Nov-16,54.09,54.69,53.9,54.59,9588036
99,14-Nov-16,53.93,54.47,53.5,54.22,10489826
100,11-Nov-16,53.43,53.99,53.25,53.93,8436435
101,10-Nov-16,54.64,54.82,53.51,53.57,13621701
102,9-Nov-16,53.2,54.82,52.8,54.58,13727777
103,8-Nov-16,54.4,54.79,54.12,54.62,9351994
104,7-Nov-16,53.5,54.68,53.19,54.49,14916848
105,4-Nov-16,51.43,53.74,50.84,52.75,21956848
106,3-Nov-16,52.99,53.0,51.34,51.77,21847292
107,2-Nov-16,52.34,53.46,52.31,52.98,10851658
108,1-Nov-16,53.14,53.21,52.08,52.5,15425819
109,31-Oct-16,53.7,53.7,53.06,53.07,9142509
110,28-Oct-16,53.65,53.84,53.11,53.53,6620333
111,27-Oct-16,53.6,53.83,53.13,53.59,7899957
112,26-Oct-16,53.6,53.84,53.36,53.63,5817798
113,25-Oct-16,54.1,54.17,53.5,53.67,6052830
114,24-Oct-16,53.9,54.46,53.89,54.18,6919714
115,21-Oct-16,53.42,53.7,53.25,53.63,6767204
116,20-Oct-16,53.36,53.74,52.91,53.59,9286800
117,19-Oct-16,52.91,53.74,52.9,53.15,9095261
118,18-Oct-16,53.24,53.32,52.59,52.61,6550399
119,17-Oct-16,52.94,53.14,52.69,52.76,5223526
120,14-Oct-16,53.12,53.37,52.96,53.08,6430136
121,13-Oct-16,52.88,53.13,52.67,52.95,6958128
122,12-Oct-16,53.01,53.47,52.78,53.16,6320462
123,11-Oct-16,53.13,53.4,52.74,52.92,9720407
124,10-Oct-16,53.53,53.6,53.27,53.3,7224335
125,7-Oct-16,53.37,53.6,53.0,53.46,7279723
126,6-Oct-16,53.3,53.48,53.03,53.14,6130270
127,5-Oct-16,53.5,53.76,53.28,53.35,7451916
128,4-Oct-16,54.13,54.13,53.41,53.53,6176358
129,3-Oct-16,54.1,54.15,53.66,53.84,5479037
130,30-Sep-16,53.65,54.38,53.56,54.14,13767754
131,29-Sep-16,53.88,54.0,52.91,53.45,11993517
132,28-Sep-16,53.88,54.08,53.53,53.98,8593496
133,27-Sep-16,54.0,54.21,53.82,54.19,6463747
134,26-Sep-16,54.28,54.34,53.86,54.04,7755629
135,23-Sep-16,54.0,54.56,54.0,54.43,6945147
136,22-Sep-16,54.2,54.6,53.96,54.39,9096709
137,21-Sep-16,53.43,54.03,53.28,53.98,9213637
138,20-Sep-16,53.4,53.44,53.05,53.3,8731499
139,19-Sep-16,53.96,53.97,52.9,53.01,9231628
140,16-Sep-16,53.94,54.09,53.41,53.74,10207750
141,15-Sep-16,53.96,54.13,53.54,54.11,8080426
142,14-Sep-16,54.26,54.35,53.8,53.9,6707850
143,13-Sep-16,54.39,54.55,53.75,53.98,10050215
144,12-Sep-16,53.92,54.79,53.92,54.71,11002544
145,9-Sep-16,55.14,55.2,54.3,54.35,10658120
146,8-Sep-16,56.1,56.15,55.2,55.3,12673626
147,7-Sep-16,56.19,56.6,56.12,56.32,11428644
148,6-Sep-16,56.18,56.42,55.69,56.02,6472907
149,2-Sep-16,56.52,56.65,55.98,56.18,7441463
150,1-Sep-16,56.3,56.56,55.83,56.31,6230148
151,31-Aug-16,56.31,56.42,55.9,56.23,6996894
152,30-Aug-16,56.66,56.75,56.01,56.4,6377668
