,Date,Open,High,Low,Close,Volume
0,7-Apr-17,78.73,78.87,78.15,78.33,4265236
1,6-Apr-17,78.7,78.93,78.36,78.62,5128783
2,5-Apr-17,78.66,79.48,78.26,78.3,5290562
3,4-Apr-17,77.71,78.38,77.22,78.21,4687847
4,3-Apr-17,78.3,78.33,77.13,77.7,6994701
5,31-Mar-17,77.55,78.37,77.33,78.1,5858508
6,30-Mar-17,78.73,78.87,77.56,77.84,5585104
7,29-Mar-17,78.21,78.96,77.58,78.67,4403009
8,28-Mar-17,77.4,78.59,76.94,78.31,7274620
9,27-Mar-17,76.21,77.18,76.14,77.02,6435078
10,24-Mar-17,77.76,77.94,76.77,76.96,9805861
11,23-Mar-17,78.11,78.45,77.56,77.67,5804115
12,22-Mar-17,78.35,78.62,77.75,78.38,5341459
13,21-Mar-17,79.53,79.65,78.57,78.69,6210485
14,20-Mar-17,79.07,79.07,78.16,78.92,7318918
15,17-Mar-17,79.97,80.26,79.49,79.55,8645748
16,16-Mar-17,80.28,80.48,79.26,79.65,6196413
17,15-Mar-17,79.0,80.59,78.91,80.25,7968057
18,14-Mar-17,78.02,78.55,77.3,78.38,6541794
19,13-Mar-17,78.83,79.13,78.08,78.59,6708919
20,10-Mar-17,79.36,79.4,78.45,78.69,5633422
21,9-Mar-17,77.52,78.94,77.28,78.7,9411782
22,8-Mar-17,79.54,79.92,77.91,78.1,10152877
23,7-Mar-17,80.69,80.77,79.74,79.95,5807380
24,6-Mar-17,80.34,80.89,80.03,80.72,5524619
25,3-Mar-17,81.22,81.58,80.65,80.7,3363815
26,2-Mar-17,81.64,82.16,80.82,80.95,5104454
27,1-Mar-17,80.91,82.69,80.6,82.27,6692409
28,28-Feb-17,80.86,80.86,80.0,80.36,7842032
29,27-Feb-17,80.23,81.82,80.16,81.06,8033030
30,24-Feb-17,79.66,80.4,79.48,80.15,5464147
31,23-Feb-17,80.47,80.71,79.88,80.47,5754105
32,22-Feb-17,80.38,80.54,79.66,79.7,5905356
33,21-Feb-17,81.43,81.55,80.6,80.68,4746114
34,17-Feb-17,80.95,81.12,80.54,80.65,4346033
35,16-Feb-17,82.13,82.17,81.0,81.13,5097946
36,15-Feb-17,82.0,82.37,81.62,81.75,4947576
37,14-Feb-17,82.04,82.5,81.54,82.46,4672319
38,13-Feb-17,81.75,82.13,81.49,81.82,4135773
39,10-Feb-17,81.98,82.71,81.85,82.16,6199901
40,9-Feb-17,81.69,81.76,81.16,81.21,6119033
41,8-Feb-17,80.61,81.19,79.52,81.12,5366434
42,7-Feb-17,81.21,81.74,80.49,81.07,5841749
43,6-Feb-17,82.55,82.97,81.46,81.69,5958031
44,3-Feb-17,82.64,83.21,82.39,82.5,5083988
45,2-Feb-17,83.6,83.61,81.56,82.44,8857699
46,1-Feb-17,84.06,84.44,82.7,83.17,5193648
47,31-Jan-17,83.9,84.25,83.11,83.71,4567889
48,30-Jan-17,84.17,84.47,83.2,83.61,5550729
49,27-Jan-17,84.86,85.19,84.31,84.5,4758177
50,26-Jan-17,85.93,86.05,84.43,84.88,5624393
51,25-Jan-17,85.08,85.69,84.65,85.51,5939483
52,24-Jan-17,84.39,84.9,83.8,84.58,6027354
53,23-Jan-17,85.85,85.93,83.9,84.27,6870220
54,20-Jan-17,87.12,87.78,85.57,86.49,10368649
55,19-Jan-17,87.05,87.84,86.91,87.2,7261442
56,18-Jan-17,85.79,87.54,85.79,87.48,8744867
57,17-Jan-17,84.81,86.53,84.8,86.43,5795345
58,13-Jan-17,84.95,85.74,84.78,84.82,5117597
59,12-Jan-17,85.69,85.7,84.65,85.33,4287013
60,11-Jan-17,84.99,85.81,84.62,85.66,4149615
61,10-Jan-17,85.69,85.71,84.58,84.6,4306226
62,9-Jan-17,85.99,86.4,85.42,85.77,4336479
63,6-Jan-17,85.48,86.83,84.84,86.48,5689898
64,5-Jan-17,85.58,85.87,85.19,85.3,4543006
65,4-Jan-17,85.0,85.71,84.54,85.43,4655393
66,3-Jan-17,84.86,85.11,83.71,84.8,6667050
67,30-Dec-16,84.3,84.5,83.66,83.95,4149703
68,29-Dec-16,84.26,84.85,83.78,84.2,3535367
69,28-Dec-16,85.28,85.48,84.41,84.63,4222687
70,27-Dec-16,85.8,85.95,85.23,85.44,2634175
71,23-Dec-16,86.03,86.27,85.23,85.51,2894275
72,22-Dec-16,85.79,87.0,85.59,86.38,3991724
73,21-Dec-16,85.57,86.26,85.06,86.16,4825856
74,20-Dec-16,85.61,85.88,85.03,85.28,5185559
75,19-Dec-16,85.4,85.7,84.97,85.12,3155877
76,16-Dec-16,85.5,85.54,84.98,85.5,9524774
77,15-Dec-16,84.5,85.7,84.3,85.28,6170978
78,14-Dec-16,85.53,86.46,84.81,85.16,5858673
79,13-Dec-16,85.73,86.72,85.05,86.13,6273364
80,12-Dec-16,86.09,86.82,84.67,85.01,8233556
81,9-Dec-16,84.87,84.98,83.94,84.78,4828984
82,8-Dec-16,84.44,84.76,83.8,84.47,4848437
83,7-Dec-16,84.05,84.8,83.56,84.35,5138922
84,6-Dec-16,83.76,84.29,83.16,83.96,4878642
85,5-Dec-16,84.92,85.18,84.23,84.43,5976148
86,2-Dec-16,84.6,85.44,84.26,85.01,5090285
87,1-Dec-16,84.99,86.41,84.37,84.61,7991659
88,30-Nov-16,82.47,84.37,82.05,84.05,13534299
89,29-Nov-16,79.61,80.29,78.74,79.92,6326420
90,28-Nov-16,81.41,82.03,80.83,81.06,5909443
91,25-Nov-16,81.03,81.39,80.75,81.29,1819739
92,23-Nov-16,81.07,81.92,81.01,81.4,3122219
93,22-Nov-16,81.98,82.0,80.28,81.5,4646442
94,21-Nov-16,81.11,81.9,81.03,81.71,5202050
95,18-Nov-16,80.1,80.52,79.72,80.0,3951072
96,17-Nov-16,81.51,81.87,79.87,80.1,4733586
97,16-Nov-16,81.02,81.9,80.77,81.04,4501349
98,15-Nov-16,79.44,81.56,79.4,81.16,5833934
99,14-Nov-16,78.4,78.92,77.48,78.71,6060945
100,11-Nov-16,79.2,79.43,78.07,78.66,4955654
101,10-Nov-16,79.48,80.71,79.48,79.88,6798624
102,9-Nov-16,79.26,80.43,78.85,79.94,6737561
103,8-Nov-16,79.33,80.49,79.13,79.84,4012560
104,7-Nov-16,78.9,79.8,78.71,79.75,4756359
105,4-Nov-16,78.52,78.93,77.66,77.84,5178283
106,3-Nov-16,77.93,78.66,77.8,78.46,4935781
107,2-Nov-16,78.08,78.22,76.92,77.76,6395871
108,1-Nov-16,78.66,78.81,77.71,78.7,6825752
109,31-Oct-16,78.88,79.1,78.03,78.23,6225057
110,28-Oct-16,79.76,80.19,78.63,79.2,5001031
111,27-Oct-16,80.4,80.58,79.53,79.6,3919637
112,26-Oct-16,79.49,80.65,79.32,80.02,4238229
113,25-Oct-16,80.35,81.5,79.92,80.22,5436610
114,24-Oct-16,80.56,80.74,79.51,80.31,5617438
115,21-Oct-16,81.85,82.42,79.68,80.47,10221833
116,20-Oct-16,82.75,83.36,81.88,82.99,7773174
117,19-Oct-16,82.0,84.3,82.0,83.44,9926100
118,18-Oct-16,81.58,81.8,80.67,81.39,3956758
119,17-Oct-16,81.32,81.76,80.69,80.98,3710919
120,14-Oct-16,81.97,82.36,81.31,81.32,4681503
121,13-Oct-16,81.02,81.92,80.62,81.53,4656595
122,12-Oct-16,81.76,81.79,81.03,81.44,4059726
123,11-Oct-16,82.08,82.23,81.16,81.69,5062960
124,10-Oct-16,81.73,82.44,81.73,82.33,4565086
125,7-Oct-16,81.79,82.1,80.98,81.31,5305592
126,6-Oct-16,80.43,81.59,80.27,81.42,6469459
127,5-Oct-16,79.41,80.95,79.06,80.15,7249395
128,4-Oct-16,78.98,79.1,78.34,78.54,5211096
129,3-Oct-16,78.82,79.06,78.35,78.9,4854738
130,30-Sep-16,77.84,78.99,77.61,78.64,6485671
131,29-Sep-16,78.11,78.97,77.37,77.37,9859463
132,28-Sep-16,75.59,78.1,75.07,78.01,9420846
133,27-Sep-16,75.13,75.46,74.33,75.33,6457176
134,26-Sep-16,76.13,76.61,75.48,75.58,5499276
135,23-Sep-16,76.69,77.06,75.57,75.92,6847404
136,22-Sep-16,77.2,77.64,76.91,77.01,5639383
137,21-Sep-16,76.0,76.71,75.86,76.56,7152450
138,20-Sep-16,76.08,76.2,75.37,75.37,6821785
139,19-Sep-16,76.84,77.4,75.93,75.96,5924961
140,16-Sep-16,76.1,77.1,75.92,76.33,7243193
141,15-Sep-16,76.16,77.15,76.09,76.8,5209370
142,14-Sep-16,76.9,77.9,76.17,76.37,5190419
143,13-Sep-16,77.98,78.1,76.88,77.08,7482030
144,12-Sep-16,77.81,79.27,77.1,78.8,6343085
145,9-Sep-16,78.76,79.22,77.56,77.56,7626570
146,8-Sep-16,78.99,79.76,78.23,79.38,4845341
147,7-Sep-16,78.83,79.05,78.48,78.61,3970697
148,6-Sep-16,78.66,78.95,78.25,78.78,5560911
149,2-Sep-16,79.25,79.7,78.5,78.55,4912088
150,1-Sep-16,78.44,79.13,78.24,78.96,6705181
151,31-Aug-16,80.15,80.34,78.62,79.0,8306065
152,30-Aug-16,81.67,81.9,80.49,80.64,7873565
153,29-Aug-16,80.61,81.5,80.61,81.14,3359038
154,26-Aug-16,81.28,82.03,80.47,80.9,4535379
155,25-Aug-16,81.39,81.73,81.03,81.34,3767057
156,24-Aug-16,81.48,81.82,81.1,81.33,4462525
157,23-Aug-16,82.17,82.4,81.54,81.75,4473691
158,22-Aug-16,82.65,82.71,81.61,82.05,5091604
159,19-Aug-16,83.51,83.67,82.72,83.31,5185639
160,18-Aug-16,82.48,83.97,82.36,83.86,5466973
161,17-Aug-16,81.6,82.25,81.22,82.21,3905473
162,16-Aug-16,81.93,82.38,81.45,81.92,3584383
163,15-Aug-16,81.75,82.13,81.09,82.04,4015962
164,12-Aug-16,81.8,82.09,80.93,81.2,3902402
165,11-Aug-16,81.14,82.41,80.97,81.5,4385446
166,10-Aug-16,82.03,82.34,80.64,80.85,3863108
167,9-Aug-16,83.03,83.04,81.48,81.83,4143756
168,8-Aug-16,81.64,82.99,81.57,82.5,6213903
169,5-Aug-16,80.62,81.42,80.02,81.2,6838614
170,4-Aug-16,79.6,80.41,79.11,80.39,8183088
171,3-Aug-16,78.71,79.64,78.27,79.62,5416302
172,2-Aug-16,78.81,78.92,77.91,78.89,6648313
173,1-Aug-16,79.79,79.88,78.08,78.46,8197786
174,29-Jul-16,78.23,80.62,78.11,80.52,6200576
175,28-Jul-16,79.77,80.51,78.6,79.05,5567296
176,27-Jul-16,80.68,80.97,79.66,79.88,8415139
177,26-Jul-16,79.9,80.6,78.95,80.6,11685454
178,25-Jul-16,81.3,81.5,80.1,80.71,11223374
179,22-Jul-16,80.02,81.61,78.87,81.61,10027496
180,21-Jul-16,80.51,81.36,79.66,80.02,6220684
181,20-Jul-16,79.43,80.83,78.87,80.6,5937862
182,19-Jul-16,79.59,80.3,79.51,79.81,5780682
183,18-Jul-16,78.81,79.71,78.48,79.7,4333637
184,15-Jul-16,79.82,79.96,79.03,79.35,4723392
185,14-Jul-16,79.77,79.93,78.98,79.1,3817559
186,13-Jul-16,79.65,80.13,78.31,78.88,5328862
187,12-Jul-16,79.14,80.16,78.69,79.65,6356320
