,Date,Open,High,Low,Close,Volume
0,7-Apr-17,50.21,50.28,49.66,49.69,7308638
1,6-Apr-17,50.25,50.33,49.9,50.13,6301850
2,5-Apr-17,49.92,50.48,49.84,50.43,3586677
3,4-Apr-17,49.96,50.19,49.76,50.02,3854853
4,3-Apr-17,49.68,49.98,49.4,49.96,5177629
5,31-Mar-17,49.63,50.0,49.61,49.78,6506873
6,30-Mar-17,49.75,49.85,49.31,49.67,5575683
7,29-Mar-17,49.82,50.14,49.54,49.95,7637041
8,28-Mar-17,50.18,50.32,49.97,50.09,5733605
9,27-Mar-17,50.55,50.8,50.12,50.3,3680539
10,24-Mar-17,50.37,50.62,50.16,50.42,5248844
11,23-Mar-17,50.63,51.05,50.18,50.37,8531009
12,22-Mar-17,51.07,51.47,50.71,50.73,6175472
13,21-Mar-17,50.31,51.16,50.2,51.01,5945243
14,20-Mar-17,50.7,50.88,50.26,50.38,3839257
15,17-Mar-17,50.42,50.95,50.2,50.67,9719955
16,16-Mar-17,50.45,50.5,50.03,50.19,3785871
17,15-Mar-17,49.94,50.85,49.8,50.63,4398583
18,14-Mar-17,49.69,50.03,49.6,49.88,3294214
19,13-Mar-17,49.59,49.79,49.53,49.73,4403033
20,10-Mar-17,49.77,49.77,49.3,49.63,5128083
21,9-Mar-17,49.9,49.99,49.45,49.5,4246931
22,8-Mar-17,50.04,50.04,49.65,49.77,4324849
23,7-Mar-17,50.1,50.5,50.06,50.4,4507339
24,6-Mar-17,50.6,50.61,50.16,50.24,4245231
25,3-Mar-17,50.34,50.61,49.94,50.37,5752613
26,2-Mar-17,49.78,50.57,49.64,50.32,5343920
27,1-Mar-17,50.27,50.57,49.97,50.06,7153782
28,28-Feb-17,50.14,50.89,50.12,50.82,6668445
29,27-Feb-17,50.45,50.45,50.2,50.27,4650336
30,24-Feb-17,49.8,50.58,49.78,50.5,8351152
31,23-Feb-17,49.0,49.86,48.94,49.67,8940869
32,22-Feb-17,48.26,49.08,48.01,48.99,7522593
33,21-Feb-17,47.74,48.34,47.57,48.28,8673399
