,Date,Open,High,Low,Close,Volume
0,7-Apr-17,169.62,170.91,168.95,169.81,1501108
1,6-Apr-17,170.08,170.63,169.04,169.8,1819829
2,5-Apr-17,171.0,171.6,170.06,170.29,1724952
3,4-Apr-17,174.05,175.71,170.43,170.56,2966357
4,3-Apr-17,172.28,174.88,171.81,174.06,2526482
5,31-Mar-17,170.36,172.49,170.22,172.03,2052014
6,30-Mar-17,169.18,171.0,167.35,170.04,1548114
7,29-Mar-17,167.82,169.89,167.07,169.86,1916540
8,28-Mar-17,166.15,168.12,165.24,168.05,1980609
9,27-Mar-17,166.92,168.36,165.57,166.15,1598198
10,24-Mar-17,167.9,168.35,166.5,167.95,1545860
11,23-Mar-17,165.6,169.59,165.48,167.56,1459674
12,22-Mar-17,168.71,169.0,163.55,165.4,2554701
13,21-Mar-17,168.57,169.72,166.92,168.96,2041963
14,20-Mar-17,168.45,169.22,167.76,168.11,1075960
15,17-Mar-17,168.93,169.72,167.01,168.02,2846803
16,16-Mar-17,170.0,170.58,169.0,169.4,1110151
17,15-Mar-17,168.01,172.98,167.5,170.0,2657127
18,14-Mar-17,168.11,169.39,166.65,167.23,2718928
19,13-Mar-17,169.0,169.76,166.89,168.69,2719616
20,10-Mar-17,170.55,171.8,167.59,168.17,3101197
21,9-Mar-17,174.66,174.77,169.17,169.32,4031589
22,8-Mar-17,176.54,176.9,173.66,174.69,3275729
23,7-Mar-17,178.49,179.09,175.92,177.29,1379653
24,6-Mar-17,178.73,180.13,177.52,178.8,1104229
25,3-Mar-17,181.51,181.72,178.81,179.4,1732025
26,2-Mar-17,181.99,182.56,179.6,181.14,1566503
27,1-Mar-17,184.27,184.88,182.22,182.52,1845940
28,28-Feb-17,185.67,186.37,182.79,184.4,1841808
29,27-Feb-17,185.04,187.35,184.3,186.33,1313752
30,24-Feb-17,184.69,184.7,181.9,184.29,1213072
31,23-Feb-17,184.7,185.79,183.62,184.99,1043707
32,22-Feb-17,184.83,185.69,183.6,184.7,1469191
33,21-Feb-17,181.53,185.62,181.04,185.16,1521200
34,17-Feb-17,179.36,182.05,178.39,181.09,1657816
35,16-Feb-17,178.88,180.86,178.55,179.18,1373065
36,15-Feb-17,180.43,180.83,176.84,178.54,1954942
37,14-Feb-17,181.08,182.39,179.85,180.94,1079669
38,13-Feb-17,182.83,183.79,180.53,181.67,1250551
39,10-Feb-17,180.37,182.68,180.05,182.1,1193506
40,9-Feb-17,181.01,182.87,180.79,181.99,1298499
41,8-Feb-17,179.26,181.14,178.66,180.62,1406110
42,7-Feb-17,182.13,183.36,178.52,179.06,1812945
43,6-Feb-17,184.24,185.5,181.75,182.07,1179405
44,3-Feb-17,184.1,185.41,183.77,185.33,1805307
45,2-Feb-17,181.31,183.52,181.31,182.96,1535135
46,1-Feb-17,185.38,186.0,181.49,181.53,2925130
47,31-Jan-17,179.01,184.07,179.01,183.77,3403230
48,30-Jan-17,179.96,179.98,176.62,177.74,1716136
49,27-Jan-17,182.57,182.68,178.53,179.51,2194028
50,26-Jan-17,182.91,183.42,181.87,182.09,1891267
51,25-Jan-17,183.9,184.22,182.09,182.4,2063823
52,24-Jan-17,185.19,185.37,183.42,184.14,2315194
53,23-Jan-17,184.38,185.2,183.81,185.0,2150161
54,20-Jan-17,182.83,185.04,181.1,184.53,2673598
55,19-Jan-17,185.52,185.66,182.72,182.92,1939683
56,18-Jan-17,185.0,187.17,184.72,186.57,1330267
57,17-Jan-17,184.37,186.76,184.14,185.33,1888496
58,13-Jan-17,182.87,184.97,182.48,184.01,1740392
59,12-Jan-17,181.61,183.22,181.11,183.09,1243227
60,11-Jan-17,183.7,184.48,181.57,181.99,2151684
61,10-Jan-17,185.12,185.9,183.65,184.19,2666132
62,9-Jan-17,186.49,187.79,185.29,185.91,1953957
63,6-Jan-17,183.55,188.1,182.6,186.83,2251406
64,5-Jan-17,179.68,184.73,178.17,184.4,2186382
65,4-Jan-17,182.91,184.13,181.54,184.08,1991723
66,3-Jan-17,179.09,182.62,176.87,182.62,2751178
67,30-Dec-16,176.61,178.8,175.61,177.67,2285095
68,29-Dec-16,174.78,176.41,173.4,175.98,1472932
69,28-Dec-16,176.41,176.56,173.11,174.2,1290071
70,27-Dec-16,175.96,176.36,175.29,175.96,1041497
71,23-Dec-16,176.9,176.9,174.51,175.95,974142
72,22-Dec-16,178.0,178.84,175.02,176.24,1617991
73,21-Dec-16,183.28,184.44,177.86,178.17,1617074
74,20-Dec-16,182.57,183.63,181.4,182.98,1295157
75,19-Dec-16,182.54,183.8,181.34,182.63,1171262
76,16-Dec-16,181.45,182.87,179.82,181.29,1975409
77,15-Dec-16,181.39,182.18,179.45,180.0,1533699
78,14-Dec-16,187.16,187.6,180.99,181.28,2093425
79,13-Dec-16,186.91,187.69,184.06,187.43,1565996
80,12-Dec-16,182.97,186.38,182.72,186.12,1066934
81,9-Dec-16,183.75,185.16,182.78,183.43,974792
82,8-Dec-16,182.4,185.14,180.45,183.66,1196067
83,7-Dec-16,180.7,183.76,180.51,183.75,1278363
84,6-Dec-16,180.78,182.14,179.13,180.11,1202041
85,5-Dec-16,179.51,180.81,178.03,180.76,1027269
86,2-Dec-16,177.57,180.79,177.42,179.36,1273895
87,1-Dec-16,178.92,179.38,175.87,176.82,2076510
88,30-Nov-16,180.38,181.61,178.42,179.65,2234481
89,29-Nov-16,181.95,184.15,181.35,182.3,1347346
90,28-Nov-16,180.64,182.95,180.07,181.33,1398164
91,25-Nov-16,181.74,182.99,180.35,181.3,490906
92,23-Nov-16,180.2,180.95,178.05,180.76,1113605
93,22-Nov-16,180.6,181.98,180.14,181.58,1068333
94,21-Nov-16,181.18,182.97,179.37,179.68,1006605
95,18-Nov-16,180.56,181.75,179.16,180.83,1369326
96,17-Nov-16,182.76,183.96,180.13,180.68,1090835
97,16-Nov-16,184.6,185.23,181.83,182.94,1030480
98,15-Nov-16,186.43,189.25,182.8,184.23,2468554
99,14-Nov-16,181.28,186.33,179.2,185.59,1786867
100,11-Nov-16,182.25,184.95,181.98,182.61,1795233
101,10-Nov-16,181.32,186.47,176.68,182.29,3137433
102,9-Nov-16,180.14,181.7,174.91,180.78,2099574
103,8-Nov-16,182.31,183.89,181.0,183.25,874088
104,7-Nov-16,182.98,183.61,180.79,181.93,1082735
105,4-Nov-16,180.12,180.52,178.53,180.28,1662663
106,3-Nov-16,179.61,180.61,178.11,179.33,1118870
107,2-Nov-16,183.61,184.22,179.65,179.68,1662373
108,1-Nov-16,184.99,185.48,181.64,183.25,1861214
109,31-Oct-16,184.27,186.33,182.88,185.96,1932778
110,28-Oct-16,184.23,186.03,182.03,182.88,1693971
111,27-Oct-16,188.15,188.16,181.85,183.23,3726583
112,26-Oct-16,195.11,196.07,187.48,188.38,2676068
113,25-Oct-16,196.34,197.7,195.82,197.27,1035707
114,24-Oct-16,197.68,199.19,196.0,197.01,1030443
115,21-Oct-16,195.79,196.9,195.04,196.55,872098
116,20-Oct-16,199.0,199.14,196.32,197.26,1241803
117,19-Oct-16,198.33,198.74,195.1,198.46,1410483
118,18-Oct-16,198.44,199.69,197.82,198.44,855893
119,17-Oct-16,197.25,198.3,196.23,197.49,1014496
120,14-Oct-16,199.05,199.85,196.99,196.99,1056359
121,13-Oct-16,197.83,199.22,196.91,198.79,1226344
122,12-Oct-16,196.08,199.05,195.59,198.92,1206700
123,11-Oct-16,197.5,198.19,194.82,195.55,959420
124,10-Oct-16,196.97,198.83,196.85,197.5,698992
125,7-Oct-16,197.64,200.3,195.82,196.81,1426961
126,6-Oct-16,195.36,198.6,192.65,196.48,1364689
127,5-Oct-16,199.36,201.0,194.68,195.72,1612258
128,4-Oct-16,201.53,202.32,197.39,198.87,1894561
129,3-Oct-16,206.29,206.29,200.9,201.84,2024125
130,30-Sep-16,209.34,209.89,206.98,207.01,1697228
131,29-Sep-16,211.71,211.99,207.2,207.58,1362668
132,28-Sep-16,212.99,213.73,210.67,212.61,1149558
133,27-Sep-16,215.56,215.56,212.64,212.93,935467
134,26-Sep-16,213.18,215.08,212.5,214.76,1073787
135,23-Sep-16,213.06,214.16,210.34,213.49,1208891
136,22-Sep-16,212.02,214.46,210.89,213.49,1173611
137,21-Sep-16,208.56,211.13,206.02,210.87,1498063
138,20-Sep-16,210.7,210.94,208.68,208.69,974741
139,19-Sep-16,209.9,210.41,208.82,209.59,960077
140,16-Sep-16,207.35,209.03,206.36,208.73,2460596
141,15-Sep-16,207.3,208.33,206.41,207.91,1244036
142,14-Sep-16,207.55,210.28,207.06,207.78,1212842
143,13-Sep-16,211.05,211.2,206.92,206.92,1406575
144,12-Sep-16,209.21,213.54,208.49,212.28,2081233
145,9-Sep-16,215.31,215.31,209.79,209.9,1692963
146,8-Sep-16,217.98,218.58,216.57,217.09,2414645
147,7-Sep-16,218.11,219.06,216.9,218.95,813570
148,6-Sep-16,217.12,218.18,215.4,218.16,1374666
149,2-Sep-16,216.92,219.41,215.61,216.69,934120
150,1-Sep-16,214.89,216.65,214.26,216.02,881852
151,31-Aug-16,215.49,217.1,214.33,215.47,1817478
152,30-Aug-16,216.04,216.2,213.16,215.9,944679
153,29-Aug-16,213.76,216.29,213.36,215.69,883718
154,26-Aug-16,216.16,218.19,212.9,213.76,1253464
155,25-Aug-16,214.39,217.53,214.32,215.55,1052150
156,24-Aug-16,212.27,214.66,211.12,214.24,1371112
157,23-Aug-16,213.37,213.6,211.92,211.97,677694
158,22-Aug-16,212.35,213.26,211.03,212.49,811737
159,19-Aug-16,213.54,214.35,211.06,211.9,973513
160,18-Aug-16,213.49,215.07,213.04,214.35,890760
161,17-Aug-16,211.57,214.49,210.34,213.97,1128861
162,16-Aug-16,213.83,214.31,210.27,211.57,1273059
163,15-Aug-16,214.35,214.98,213.38,214.08,1148148
164,12-Aug-16,214.85,216.56,214.12,215.22,1196532
165,11-Aug-16,219.04,219.04,213.49,214.55,2212910
166,10-Aug-16,219.88,221.22,218.35,218.98,1218849
167,9-Aug-16,220.0,221.37,218.35,220.63,881811
168,8-Aug-16,219.69,222.37,219.26,219.97,1147483
169,5-Aug-16,220.12,220.99,218.47,219.71,1378745
170,4-Aug-16,222.55,223.06,219.37,219.62,1037105
171,3-Aug-16,222.2,222.38,220.35,222.31,1510586
172,2-Aug-16,226.58,227.5,223.21,223.61,1301904
173,1-Aug-16,226.86,228.47,226.26,227.6,921607
174,29-Jul-16,223.93,229.1,223.93,227.04,1260546
175,28-Jul-16,221.81,225.75,221.62,224.07,923605
176,27-Jul-16,225.15,225.2,219.05,221.7,1587563
177,26-Jul-16,224.51,225.1,223.48,224.5,920550
178,25-Jul-16,225.85,226.42,224.08,224.48,800353
179,22-Jul-16,223.89,226.13,223.54,225.3,967340
180,21-Jul-16,222.74,224.35,220.84,224.2,671574
181,20-Jul-16,223.44,223.49,221.81,223.24,751848
182,19-Jul-16,222.6,223.03,220.64,223.03,1077058
183,18-Jul-16,223.05,223.46,221.33,222.28,849025
184,15-Jul-16,222.63,223.18,219.94,222.94,1115225
185,14-Jul-16,224.23,224.23,221.5,222.17,1159734
186,13-Jul-16,221.77,224.25,221.04,224.24,1194241
187,12-Jul-16,221.33,221.84,219.18,221.46,1255088
188,11-Jul-16,219.8,222.25,218.37,221.74,998208
189,8-Jul-16,216.79,219.75,216.03,219.56,1152822
190,7-Jul-16,217.04,217.66,213.87,215.59,1235660
191,6-Jul-16,219.68,220.33,216.8,217.54,1397217
192,5-Jul-16,217.34,220.25,217.29,220.23,1321807
193,1-Jul-16,217.53,218.94,216.52,217.14,1047904
194,30-Jun-16,215.73,217.17,213.9,216.9,2072952
195,29-Jun-16,213.9,216.14,212.92,214.93,1575635
196,28-Jun-16,209.21,213.22,208.0,213.09,1732043
197,27-Jun-16,205.44,208.11,203.88,207.95,1785978
198,24-Jun-16,204.58,208.82,203.01,206.5,1733905
199,23-Jun-16,209.78,210.44,208.47,209.09,730188
200,22-Jun-16,209.01,209.5,207.74,208.59,1087913
201,21-Jun-16,207.27,208.94,207.01,208.43,1190807
202,20-Jun-16,207.91,209.77,206.44,206.96,1214391
203,17-Jun-16,206.08,206.08,203.62,205.89,1452729
204,16-Jun-16,203.73,206.35,202.8,206.21,843204
205,15-Jun-16,203.17,205.3,203.17,204.22,1261316
206,14-Jun-16,201.41,204.3,200.93,202.82,1257618
207,13-Jun-16,200.82,202.53,199.95,201.73,999155
208,10-Jun-16,200.77,201.82,199.81,200.26,830176
209,9-Jun-16,201.3,202.75,200.01,201.65,824899
210,8-Jun-16,199.36,201.88,199.01,201.45,1211584
211,7-Jun-16,198.67,200.87,198.65,199.51,882103
212,6-Jun-16,199.93,201.42,197.53,198.67,1370028
213,3-Jun-16,198.65,199.82,197.62,199.49,1374782
214,2-Jun-16,197.26,198.3,196.11,197.4,1115031
215,1-Jun-16,196.59,199.26,196.59,198.26,1205030
216,31-May-16,198.75,198.89,196.07,197.64,1475068
217,27-May-16,197.19,198.58,196.68,197.77,880275
218,26-May-16,196.29,198.15,195.0,197.13,836406
219,25-May-16,197.94,198.38,194.77,196.09,1531656
220,24-May-16,196.88,199.41,196.25,197.63,1489210
221,23-May-16,195.45,196.76,194.18,195.75,1280963
222,20-May-16,194.92,196.87,194.04,195.13,2264886
223,19-May-16,191.97,194.26,191.25,193.85,1912252
224,18-May-16,194.64,195.87,190.82,193.49,2427985
225,17-May-16,198.15,199.18,194.35,195.47,1921283
226,16-May-16,196.53,200.23,195.47,199.38,1793858
227,13-May-16,200.8,200.8,195.12,196.49,3357392
228,12-May-16,204.01,205.33,199.75,204.04,3067733
229,11-May-16,213.43,213.47,202.3,203.24,4016336
230,10-May-16,213.69,214.8,213.09,213.92,1130466
231,9-May-16,210.7,213.09,209.3,213.04,1202139
232,6-May-16,208.25,210.88,207.73,210.82,1085063
233,5-May-16,206.62,208.53,205.95,208.44,1102802
234,4-May-16,203.27,207.81,203.27,207.62,1104041
235,3-May-16,203.27,205.09,203.17,204.96,710085
236,2-May-16,202.78,205.0,202.68,204.52,873080
237,29-Apr-16,203.0,203.37,200.12,201.17,1493894
238,28-Apr-16,202.97,205.17,202.92,203.66,756211
239,27-Apr-16,204.72,205.47,202.88,204.57,1406446
240,26-Apr-16,204.41,204.61,202.03,203.95,1431290
241,25-Apr-16,201.65,203.67,201.17,203.67,1243731
242,22-Apr-16,199.79,202.69,199.79,202.14,1388992
243,21-Apr-16,203.56,204.48,199.1,199.29,1698735
244,20-Apr-16,206.5,207.05,203.35,203.72,2636671
245,19-Apr-16,209.42,209.45,208.0,208.26,1001090
246,18-Apr-16,208.14,209.43,207.44,209.07,861069
247,15-Apr-16,207.76,208.21,206.06,207.87,1065253
248,14-Apr-16,207.72,208.37,205.8,207.95,1033515
249,13-Apr-16,209.15,209.15,206.7,207.64,795020
250,12-Apr-16,207.28,208.94,206.66,208.11,884772
251,11-Apr-16,207.99,208.17,206.62,206.68,941670
