,Date,Open,High,Low,Close,Volume
0,7-Apr-17,98.19,98.76,98.03,98.46,2495598
1,6-Apr-17,98.44,98.58,98.06,98.3,2975559
2,5-Apr-17,98.42,98.87,98.18,98.37,2928174
3,4-Apr-17,98.0,98.34,97.92,98.28,3023048
4,3-Apr-17,97.93,98.22,97.73,98.0,3251645
5,31-Mar-17,97.79,98.22,97.51,97.71,3509511
6,30-Mar-17,97.4,98.08,97.21,98.04,2447444
7,29-Mar-17,97.22,97.7,97.1,97.47,2194793
8,28-Mar-17,97.18,97.5,96.88,97.32,2711788
9,27-Mar-17,97.45,97.49,96.92,97.36,1938571
10,24-Mar-17,97.22,97.77,97.0,97.51,1602162
11,23-Mar-17,96.93,97.61,96.66,97.18,2228002
12,22-Mar-17,97.59,97.82,96.57,96.84,2742264
13,21-Mar-17,98.44,98.5,97.31,97.47,3714428
14,20-Mar-17,98.52,98.66,98.13,98.28,2426880
15,17-Mar-17,98.49,98.63,98.16,98.56,4519965
16,16-Mar-17,98.46,99.11,98.33,98.46,3612276
17,15-Mar-17,98.59,98.82,98.26,98.74,2821633
18,14-Mar-17,98.65,98.69,98.29,98.36,1657330
19,13-Mar-17,98.66,98.78,98.42,98.62,2412859
20,10-Mar-17,98.63,98.85,98.46,98.6,3551023
21,9-Mar-17,98.71,98.77,98.42,98.45,2931669
22,8-Mar-17,98.21,98.83,98.14,98.51,3038838
23,7-Mar-17,98.07,98.47,97.89,98.24,3561122
24,6-Mar-17,98.31,98.58,97.97,98.09,3454756
25,3-Mar-17,99.0,99.07,98.54,98.73,2428393
26,2-Mar-17,98.87,99.14,98.55,98.96,2252340
27,1-Mar-17,98.62,99.29,98.42,98.9,3911693
28,28-Feb-17,97.86,98.56,97.86,98.21,3367614
29,27-Feb-17,96.92,98.47,96.75,98.2,4704540
30,24-Feb-17,96.27,97.28,96.2,97.28,2487811
31,23-Feb-17,96.18,97.07,95.98,97.06,4129415
32,22-Feb-17,96.27,96.6,96.22,96.32,4322471
33,21-Feb-17,96.31,96.59,96.0,96.42,4721117
34,17-Feb-17,96.11,96.48,96.09,96.48,3991667
35,16-Feb-17,96.26,96.43,96.0,96.39,3309888
36,15-Feb-17,96.12,96.41,95.96,96.32,3965391
37,14-Feb-17,96.01,96.55,95.92,96.39,4239687
38,13-Feb-17,96.45,96.55,95.9,96.07,3629381
39,10-Feb-17,96.29,96.61,96.2,96.58,2224721
40,9-Feb-17,96.6,96.7,96.2,96.37,2376111
41,8-Feb-17,96.89,96.98,96.14,96.6,3879815
42,7-Feb-17,96.37,96.49,96.0,96.22,3877367
43,6-Feb-17,95.65,96.44,95.65,96.36,2529080
44,3-Feb-17,95.72,96.1,95.65,95.87,2476202
45,2-Feb-17,96.65,96.84,95.49,95.63,4148028
46,1-Feb-17,96.75,97.35,96.35,96.72,5611044
47,31-Jan-17,96.45,96.99,96.24,96.85,2589116
48,30-Jan-17,96.39,96.95,95.96,96.62,3907012
49,27-Jan-17,96.0,96.38,95.77,96.38,2720719
50,26-Jan-17,95.7,96.12,95.4,96.08,4131846
51,25-Jan-17,96.22,96.45,95.65,95.72,3320899
52,24-Jan-17,96.79,96.9,95.94,96.35,3164537
53,23-Jan-17,96.07,96.97,95.82,96.77,2878767
54,20-Jan-17,95.89,96.49,95.24,96.11,4965250
55,19-Jan-17,95.02,95.77,94.86,95.69,4867412
56,18-Jan-17,94.75,95.47,94.31,95.11,6251468
57,17-Jan-17,93.91,94.91,93.55,94.87,5095804
58,13-Jan-17,93.68,94.41,93.5,94.14,3162407
59,12-Jan-17,93.98,94.4,93.45,93.85,5780808
60,11-Jan-17,93.09,94.25,92.65,93.68,5259395
61,10-Jan-17,93.69,94.23,93.04,93.4,5295804
62,9-Jan-17,94.4,94.95,93.32,93.55,5041928
63,6-Jan-17,94.95,95.72,94.59,94.75,7442782
64,5-Jan-17,96.51,96.79,93.05,95.09,12929235
65,4-Jan-17,96.98,97.21,96.52,96.71,3569068
66,3-Jan-17,96.9,97.19,96.13,96.76,4093903
67,30-Dec-16,96.98,97.1,96.02,96.53,2632712
68,29-Dec-16,96.3,96.7,96.1,96.69,1372601
69,28-Dec-16,96.76,96.86,96.15,96.22,1792029
70,27-Dec-16,96.43,96.88,96.18,96.74,1547379
71,23-Dec-16,96.08,96.52,95.86,96.41,1668284
72,22-Dec-16,95.83,96.57,95.67,96.46,2838192
73,21-Dec-16,95.56,96.2,95.3,95.99,3088761
74,20-Dec-16,95.19,95.86,95.1,95.73,3150056
