,Date,Open,High,Low,Close,Volume
0,7-Apr-17,80.3,80.92,80.08,80.53,2686868
1,6-Apr-17,79.98,80.37,79.4,80.1,4178252
2,5-Apr-17,80.6,81.18,79.98,80.08,3548745
3,4-Apr-17,80.11,80.67,80.11,80.6,2761956
4,3-Apr-17,80.87,81.5,79.79,80.36,4564216
5,31-Mar-17,80.79,81.15,80.54,80.56,3761404
6,30-Mar-17,80.23,81.08,80.23,81.04,3372836
7,29-Mar-17,80.35,80.66,80.26,80.49,2811614
8,28-Mar-17,80.3,80.99,80.22,80.61,3578125
9,27-Mar-17,79.95,80.82,79.71,80.53,3260892
10,24-Mar-17,81.92,82.05,80.43,80.59,4100261
11,23-Mar-17,80.69,81.04,80.23,80.67,3335343
12,22-Mar-17,80.09,80.79,79.58,80.69,4307268
13,21-Mar-17,81.93,82.08,79.67,79.75,6221003
14,20-Mar-17,81.99,82.27,81.54,81.59,4383020
15,17-Mar-17,82.24,82.44,81.44,82.2,9232193
16,16-Mar-17,81.99,82.18,81.38,81.71,4195617
17,15-Mar-17,81.42,81.95,80.96,81.82,3668808
18,14-Mar-17,80.95,81.2,80.62,81.09,4271542
19,13-Mar-17,80.32,81.09,80.18,81.02,6082583
20,10-Mar-17,79.72,80.63,79.3,80.33,5118433
21,9-Mar-17,79.49,79.78,78.8,79.13,4255437
22,8-Mar-17,79.44,79.94,79.16,79.34,5386547
23,7-Mar-17,78.35,80.37,78.21,79.12,10556762
24,6-Mar-17,77.69,78.46,77.4,78.31,4066406
25,3-Mar-17,78.2,78.2,77.46,77.86,3994816
26,2-Mar-17,78.36,78.76,77.94,78.08,7605753
27,1-Mar-17,77.13,78.18,76.68,78.15,5332504
28,28-Feb-17,77.06,77.17,76.46,76.62,4770485
29,27-Feb-17,77.31,77.34,76.76,77.19,3055990
30,24-Feb-17,76.94,77.24,76.4,77.24,3516648
31,23-Feb-17,77.23,77.38,76.69,77.14,4921742
32,22-Feb-17,77.2,77.28,76.8,77.23,4057056
33,21-Feb-17,76.79,77.13,76.59,77.08,5104736
34,17-Feb-17,76.11,76.44,75.66,76.44,3955507
35,16-Feb-17,75.8,76.32,75.52,76.25,4882048
36,15-Feb-17,75.65,75.81,74.93,75.67,5731485
37,14-Feb-17,75.46,75.64,75.3,75.64,4000042
38,13-Feb-17,75.53,75.74,75.39,75.52,5466207
39,10-Feb-17,75.62,75.66,74.52,75.16,6289845
40,9-Feb-17,76.3,76.35,75.27,75.3,6950510
41,8-Feb-17,76.49,76.55,75.92,75.95,5864697
42,7-Feb-17,76.37,76.74,76.04,76.18,4500917
43,6-Feb-17,76.38,76.48,75.85,76.22,4632971
44,3-Feb-17,76.29,76.56,76.03,76.5,4546974
45,2-Feb-17,75.61,76.1,75.34,75.89,4434547
46,1-Feb-17,76.06,76.87,75.86,76.27,7815792
47,31-Jan-17,77.4,77.54,75.25,75.54,11129400
48,30-Jan-17,77.52,78.08,77.35,77.9,8355246
49,27-Jan-17,79.06,79.45,77.74,78.03,9737561
50,26-Jan-17,78.02,79.47,78.01,79.26,8991521
51,25-Jan-17,77.72,78.72,77.19,78.58,8119910
52,24-Jan-17,76.19,77.32,75.91,77.08,8561560
53,23-Jan-17,74.8,75.74,74.64,75.73,6895107
54,20-Jan-17,74.16,74.89,74.16,74.75,6661449
55,19-Jan-17,74.22,74.81,73.87,73.88,4468534
56,18-Jan-17,74.73,74.84,74.25,74.38,5531370
57,17-Jan-17,74.67,74.95,74.29,74.49,4413082
58,13-Jan-17,74.83,75.3,74.73,75.0,3372528
59,12-Jan-17,75.0,75.14,74.09,74.85,4408340
60,11-Jan-17,74.64,75.2,74.46,75.2,4361427
61,10-Jan-17,74.62,74.83,74.06,74.6,3712482
62,9-Jan-17,74.51,75.22,74.16,74.34,4782977
63,6-Jan-17,72.88,74.28,72.47,74.15,5244559
64,5-Jan-17,73.29,73.7,72.89,72.92,4301121
65,4-Jan-17,73.65,73.97,73.25,73.49,4507084
66,3-Jan-17,73.53,74.31,73.05,73.58,4847913
67,30-Dec-16,74.43,74.46,72.77,72.97,4311767
68,29-Dec-16,73.84,74.4,73.8,74.15,3292572
69,28-Dec-16,74.96,75.05,73.98,74.05,2683395
70,27-Dec-16,74.42,75.15,74.16,74.87,2037175
71,23-Dec-16,74.11,74.39,74.0,74.38,1690787
72,22-Dec-16,74.25,74.32,73.75,74.2,3470787
73,21-Dec-16,74.22,74.72,74.14,74.17,4272192
74,20-Dec-16,73.93,74.19,73.6,74.04,3181963
75,19-Dec-16,73.11,74.08,72.96,73.57,3817950
76,16-Dec-16,73.36,73.75,72.68,72.89,6478666
77,15-Dec-16,72.73,73.59,72.45,73.45,5079458
78,14-Dec-16,73.55,73.7,72.4,72.5,6474082
79,13-Dec-16,71.95,73.6,71.77,73.2,6950888
80,12-Dec-16,71.89,71.93,71.19,71.73,3340561
81,9-Dec-16,72.35,72.65,71.56,71.99,6101234
82,8-Dec-16,72.32,72.58,71.88,72.13,5473578
83,7-Dec-16,71.5,72.43,71.12,72.2,6045939
84,6-Dec-16,71.11,71.39,70.61,71.37,7039805
85,5-Dec-16,71.34,71.53,70.38,70.51,6405080
86,2-Dec-16,69.99,71.16,69.92,70.72,5946393
87,1-Dec-16,73.88,73.91,69.96,70.41,9631119
88,30-Nov-16,74.67,74.69,73.93,73.93,6768174
89,29-Nov-16,74.66,75.25,74.23,74.4,6347037
90,28-Nov-16,74.29,74.89,74.04,74.53,4512018
91,25-Nov-16,73.87,74.61,73.73,74.43,1978800
92,23-Nov-16,74.38,74.55,73.92,74.06,3995498
93,22-Nov-16,74.09,74.64,74.03,74.4,6824105
94,21-Nov-16,72.75,73.73,72.7,73.68,5447043
95,18-Nov-16,71.84,73.15,71.75,72.6,5484164
96,17-Nov-16,71.17,72.28,70.63,72.08,3761089
97,16-Nov-16,71.01,71.3,70.56,71.2,4880387
98,15-Nov-16,70.2,71.36,70.05,71.03,4736520
99,14-Nov-16,70.14,70.35,69.64,70.02,6492956
100,11-Nov-16,69.02,70.06,69.0,69.85,4974866
101,10-Nov-16,70.0,70.72,68.13,69.14,7190568
102,9-Nov-16,67.8,69.95,67.6,69.79,5698213
103,8-Nov-16,69.01,69.97,68.95,69.83,5409619
104,7-Nov-16,68.83,69.48,68.29,69.01,5751076
105,4-Nov-16,66.88,68.0,66.8,67.6,6056310
106,3-Nov-16,68.7,68.72,67.53,67.9,6723573
107,2-Nov-16,69.57,69.95,68.72,68.84,6516774
108,1-Nov-16,71.13,71.13,68.92,69.44,7375307
109,31-Oct-16,71.31,71.44,70.8,70.85,5411394
110,28-Oct-16,70.96,71.69,70.52,70.8,6360131
111,27-Oct-16,71.4,72.18,70.41,70.73,9627039
112,26-Oct-16,71.0,71.94,70.77,71.71,8150975
113,25-Oct-16,71.57,71.85,71.08,71.2,4614234
114,24-Oct-16,70.26,71.74,70.23,71.68,5887988
115,21-Oct-16,69.41,70.04,68.8,69.97,7027512
116,20-Oct-16,69.42,70.05,68.77,69.75,3850423
117,19-Oct-16,68.89,69.61,68.6,69.49,5530750
118,18-Oct-16,69.86,69.93,69.17,69.25,3590718
119,17-Oct-16,68.5,68.99,68.37,68.42,2620850
120,14-Oct-16,68.27,69.22,68.21,68.49,4329253
121,13-Oct-16,67.91,67.96,67.06,67.77,3897658
122,12-Oct-16,68.83,68.83,67.99,68.46,3563930
123,11-Oct-16,69.93,69.97,68.06,68.76,5204371
124,10-Oct-16,71.08,71.33,69.9,69.93,4893217
125,7-Oct-16,71.0,71.06,70.45,70.87,3673887
126,6-Oct-16,70.44,71.0,70.03,70.96,4061513
127,5-Oct-16,69.85,70.84,69.01,70.6,4789572
128,4-Oct-16,69.66,69.91,69.1,69.59,4089515
129,3-Oct-16,70.08,70.26,69.47,69.66,3627810
130,30-Sep-16,69.95,70.58,69.84,70.18,5071022
131,29-Sep-16,69.63,70.28,69.22,69.84,4337901
132,28-Sep-16,69.4,69.78,69.22,69.74,3241333
133,27-Sep-16,68.39,69.47,68.08,69.45,4560225
134,26-Sep-16,68.55,68.77,68.13,68.42,3475623
135,23-Sep-16,70.0,70.0,68.98,68.98,3088066
136,22-Sep-16,70.01,70.13,69.46,69.76,3566304
137,21-Sep-16,69.41,69.71,68.83,69.56,4202113
138,20-Sep-16,69.77,69.9,69.01,69.18,3026685
139,19-Sep-16,69.83,70.29,69.29,69.54,4100559
140,16-Sep-16,69.97,69.97,68.48,69.36,6506189
141,15-Sep-16,67.8,69.36,67.6,69.22,6276714
142,14-Sep-16,67.46,68.07,67.22,67.79,4038810
143,13-Sep-16,68.01,68.55,67.27,67.45,5472626
144,12-Sep-16,66.31,68.02,66.3,67.94,6049884
145,9-Sep-16,68.19,68.42,66.67,66.67,6995646
146,8-Sep-16,69.24,69.41,68.7,68.99,4151570
147,7-Sep-16,69.75,70.0,69.26,69.49,4214091
148,6-Sep-16,69.93,70.03,69.26,69.79,3870271
149,2-Sep-16,70.02,70.1,69.26,69.68,4584212
150,1-Sep-16,68.78,69.79,68.3,69.7,4535987
151,31-Aug-16,69.36,69.61,69.23,69.54,3870221
152,30-Aug-16,70.0,70.2,69.09,69.31,4382751
153,29-Aug-16,69.9,70.37,69.85,69.98,3669145
154,26-Aug-16,69.99,70.34,69.4,69.75,4160926
155,25-Aug-16,69.9,70.06,69.7,69.82,3044871
156,24-Aug-16,70.11,70.22,69.71,69.9,3749507
157,23-Aug-16,70.42,70.54,69.93,69.98,4779204
158,22-Aug-16,70.35,70.61,69.84,70.0,4361411
159,19-Aug-16,70.12,70.54,69.94,70.27,3481961
160,18-Aug-16,69.98,70.17,69.79,70.13,3816685
161,17-Aug-16,69.92,70.02,69.54,69.82,5914651
162,16-Aug-16,70.09,70.33,69.82,69.82,3682612
163,15-Aug-16,70.19,70.7,69.93,70.33,4148801
164,12-Aug-16,70.0,70.22,69.78,69.84,3444978
165,11-Aug-16,70.0,70.2,69.77,70.0,3003555
166,10-Aug-16,70.23,70.31,69.81,69.89,5012531
167,9-Aug-16,70.42,70.85,70.17,70.25,3434443
168,8-Aug-16,70.03,70.32,69.99,70.14,4865939
169,5-Aug-16,70.0,70.21,69.71,70.15,4547408
170,4-Aug-16,69.5,69.71,68.54,69.61,4382084
171,3-Aug-16,68.84,69.09,68.51,68.88,4231764
172,2-Aug-16,69.69,69.88,68.44,68.85,6391252
