,Date,Open,High,Low,Close,Volume
0,7-Apr-17,164.96,166.5,164.62,166.02,2928086
1,6-Apr-17,165.45,166.02,164.84,165.34,2923993
2,5-Apr-17,165.76,167.26,165.22,165.37,3541623
3,4-Apr-17,165.87,166.45,164.79,164.97,2885978
4,3-Apr-17,164.62,166.14,164.25,165.59,3473710
5,31-Mar-17,164.64,165.1,163.75,164.01,3496122
6,30-Mar-17,163.65,165.93,163.46,164.99,2993828
7,29-Mar-17,164.66,164.97,162.74,163.44,5900387
8,28-Mar-17,164.58,166.07,163.84,165.35,7327109
9,27-Mar-17,163.99,165.11,163.31,164.6,4383024
10,24-Mar-17,166.13,167.4,164.35,165.0,5243877
11,23-Mar-17,166.23,166.93,164.77,165.29,3947412
12,22-Mar-17,168.13,168.38,165.63,167.03,2999769
13,21-Mar-17,168.67,168.82,167.06,167.7,4953057
14,20-Mar-17,169.93,170.24,167.92,168.0,3928639
15,17-Mar-17,171.09,171.54,169.59,169.7,5622866
16,16-Mar-17,172.07,172.14,170.22,171.3,3138566
17,15-Mar-17,169.36,171.97,169.29,171.78,2807585
18,14-Mar-17,169.66,170.18,168.5,169.06,2522844
19,13-Mar-17,169.99,170.93,169.55,170.21,3130164
20,10-Mar-17,168.42,170.0,168.06,169.98,3716639
21,9-Mar-17,168.15,169.07,167.74,168.01,3631873
22,8-Mar-17,167.61,168.46,166.8,167.91,2048154
23,7-Mar-17,168.45,169.36,167.93,168.3,2702294
24,6-Mar-17,167.43,169.35,167.13,168.7,2576499
25,3-Mar-17,167.37,168.45,166.62,168.2,2254393
26,2-Mar-17,168.32,168.43,166.96,167.31,1889796
27,1-Mar-17,166.72,168.6,166.35,167.94,3514174
28,28-Feb-17,165.47,166.76,164.9,165.38,4382055
29,27-Feb-17,163.16,165.46,162.81,165.38,4071804
30,24-Feb-17,162.67,163.09,161.74,163.06,2715668
31,23-Feb-17,161.33,162.6,160.69,162.6,2460188
32,22-Feb-17,160.91,161.78,159.64,160.57,2725286
33,21-Feb-17,157.62,160.82,157.52,160.57,5419013
34,17-Feb-17,159.0,160.16,156.49,157.62,12033638
35,16-Feb-17,164.78,164.97,162.33,163.65,3191646
36,15-Feb-17,162.58,164.89,162.58,164.29,4537859
37,14-Feb-17,161.45,163.5,161.25,163.13,2969704
38,13-Feb-17,160.69,162.02,160.69,161.99,3275839
39,10-Feb-17,160.12,161.59,160.1,160.75,1905884
40,9-Feb-17,160.34,161.3,159.56,160.44,3056783
41,8-Feb-17,160.0,160.63,159.41,160.31,2339728
42,7-Feb-17,161.05,161.68,159.54,160.53,2942701
43,6-Feb-17,161.51,162.53,160.22,160.51,3479420
44,3-Feb-17,161.13,162.0,160.21,161.87,2762478
45,2-Feb-17,162.52,163.25,160.26,160.76,4714006
46,1-Feb-17,162.75,163.9,162.03,162.71,3718557
47,31-Jan-17,161.62,162.19,160.01,162.1,3036991
48,30-Jan-17,162.94,163.46,161.31,162.09,2784550
49,27-Jan-17,163.5,163.8,162.62,162.99,3110360
50,26-Jan-17,161.86,163.58,161.25,162.75,4202402
51,25-Jan-17,160.82,161.98,160.35,161.24,3605753
52,24-Jan-17,159.36,161.31,159.1,160.43,3514096
53,23-Jan-17,158.62,159.52,156.56,159.07,4062638
54,20-Jan-17,159.02,159.8,157.81,158.66,3579145
55,19-Jan-17,157.74,160.55,157.24,158.7,4976871
56,18-Jan-17,161.06,161.2,156.09,157.74,6591624
57,17-Jan-17,162.61,162.97,157.51,160.66,5475764
58,13-Jan-17,162.16,162.74,161.41,161.8,3183274
59,12-Jan-17,161.69,162.94,160.89,162.36,2555893
60,11-Jan-17,161.3,162.94,160.61,161.89,3330608
61,10-Jan-17,161.27,162.98,160.5,161.58,3500741
62,9-Jan-17,162.0,162.43,160.78,161.95,3041537
63,6-Jan-17,161.75,162.94,161.11,162.41,3081255
64,5-Jan-17,161.75,162.63,161.51,162.18,2961074
65,4-Jan-17,162.35,162.58,159.74,161.91,2695217
66,3-Jan-17,161.13,162.27,159.15,161.45,3540336
67,30-Dec-16,161.37,161.48,159.85,160.04,2855637
68,29-Dec-16,161.92,162.36,160.39,161.04,2476270
69,28-Dec-16,162.16,163.25,161.32,161.44,1669089
70,27-Dec-16,163.26,163.96,162.45,162.64,1343985
71,23-Dec-16,161.56,163.04,160.55,163.03,2044472
72,22-Dec-16,161.39,161.88,160.27,161.58,2741712
73,21-Dec-16,161.42,162.29,159.62,161.33,2768116
74,20-Dec-16,161.71,163.11,161.41,161.59,3131151
75,19-Dec-16,163.09,163.94,161.22,161.54,4732617
76,16-Dec-16,161.38,164.0,161.19,163.94,7605257
77,15-Dec-16,159.87,161.29,159.43,160.62,4422949
78,14-Dec-16,161.14,161.8,158.72,159.86,3885652
79,13-Dec-16,160.4,161.71,160.06,160.54,3868877
80,12-Dec-16,158.83,159.66,157.75,159.49,3471430
81,9-Dec-16,159.52,160.16,157.71,160.12,4007213
82,8-Dec-16,159.41,160.24,158.0,159.32,3407518
83,7-Dec-16,157.89,159.98,156.35,159.4,4552337
84,6-Dec-16,158.17,158.23,156.26,157.32,3216730
85,5-Dec-16,160.19,160.67,156.23,157.63,5854226
86,2-Dec-16,161.0,162.52,160.56,160.73,3480032
87,1-Dec-16,159.12,161.72,159.12,160.94,5250234
88,30-Nov-16,157.47,159.76,157.07,158.32,7142369
89,29-Nov-16,156.94,158.12,155.18,157.59,5827435
90,28-Nov-16,152.74,152.85,150.0,152.11,5029589
91,25-Nov-16,153.93,154.5,152.61,152.81,1664542
92,23-Nov-16,152.01,153.74,150.96,153.54,2838847
93,22-Nov-16,151.08,152.93,150.56,152.26,4992120
94,21-Nov-16,149.72,150.66,148.56,150.41,3867791
95,18-Nov-16,151.05,151.66,149.4,149.45,5664818
96,17-Nov-16,151.82,151.92,150.19,150.77,4672899
97,16-Nov-16,151.99,153.0,151.23,151.5,3899008
98,15-Nov-16,153.51,153.96,151.51,152.23,4910721
99,14-Nov-16,147.32,152.92,147.04,152.28,5740425
100,11-Nov-16,146.71,147.5,146.01,146.42,4475449
101,10-Nov-16,142.34,146.57,142.0,146.13,6075842
102,9-Nov-16,139.54,144.19,136.22,141.9,8042434
103,8-Nov-16,141.35,143.61,141.0,142.9,4389253
104,7-Nov-16,139.6,142.44,139.55,141.93,3896555
105,4-Nov-16,138.45,138.89,137.69,137.71,3520746
106,3-Nov-16,139.18,140.34,137.65,137.83,2989689
107,2-Nov-16,139.02,141.23,138.93,138.98,3149707
108,1-Nov-16,141.51,141.51,138.82,139.43,3391410
109,31-Oct-16,140.8,141.54,139.97,141.33,3761070
110,28-Oct-16,141.66,142.35,139.44,140.35,4033636
111,27-Oct-16,142.72,143.25,141.58,141.94,3358006
112,26-Oct-16,143.75,143.78,141.88,142.23,3267632
113,25-Oct-16,144.88,145.38,143.6,143.78,3095384
114,24-Oct-16,146.0,146.22,144.02,144.69,2930159
115,21-Oct-16,144.26,145.44,143.76,145.37,3331766
116,20-Oct-16,144.49,145.88,143.98,145.07,5203669
117,19-Oct-16,143.82,146.36,142.82,144.37,5796032
118,18-Oct-16,139.2,143.95,137.87,143.39,10141914
119,17-Oct-16,134.06,134.43,133.03,134.13,3602532
120,14-Oct-16,134.78,135.51,133.89,133.92,3452918
121,13-Oct-16,134.65,134.65,133.61,134.19,3425680
122,12-Oct-16,134.98,135.72,133.64,135.1,4287909
123,11-Oct-16,137.32,137.69,134.37,134.75,3353588
124,10-Oct-16,136.97,138.35,136.97,138.08,2585956
125,7-Oct-16,137.21,137.55,135.98,136.66,2568703
126,6-Oct-16,137.31,137.49,135.66,136.47,4025313
127,5-Oct-16,138.21,138.93,136.6,137.6,4625613
128,4-Oct-16,138.69,139.36,137.16,138.16,2452575
129,3-Oct-16,139.35,139.72,138.02,138.49,2724399
130,30-Sep-16,139.18,140.48,138.42,140.0,4164080
131,29-Sep-16,140.18,140.28,137.84,138.32,2200954
132,28-Sep-16,141.13,141.71,139.66,140.41,1990377
133,27-Sep-16,139.99,140.84,138.69,140.79,3048640
134,26-Sep-16,139.95,140.17,138.9,139.72,2636458
135,23-Sep-16,141.02,141.78,140.36,140.51,2801957
136,22-Sep-16,140.49,141.41,140.33,141.04,3018312
137,21-Sep-16,138.2,139.96,137.99,139.91,3506621
138,20-Sep-16,138.13,138.53,137.06,137.47,2425739
139,19-Sep-16,138.68,139.39,137.52,137.68,3239511
140,16-Sep-16,135.61,138.55,135.53,138.47,7421871
141,15-Sep-16,133.03,136.09,132.88,135.61,3332592
142,14-Sep-16,133.87,134.69,132.98,133.69,4592442
143,13-Sep-16,134.24,135.15,133.37,133.95,3331542
144,12-Sep-16,132.71,135.72,132.39,135.53,3457351
