,Date,Open,High,Low,Close,Volume
0,7-Apr-17,106.31,106.6,104.91,104.99,3212232
1,6-Apr-17,106.77,106.94,106.51,106.67,2824589
2,5-Apr-17,106.94,107.78,106.54,106.74,2622852
3,4-Apr-17,106.3,106.7,105.7,106.63,2138746
4,3-Apr-17,107.66,107.73,106.08,106.4,2645891
5,31-Mar-17,106.48,107.7,106.48,107.3,2478107
6,30-Mar-17,105.81,106.84,105.35,106.66,1721627
7,29-Mar-17,105.65,106.35,105.46,106.03,1889305
8,28-Mar-17,104.72,106.52,104.5,106.19,3191558
9,27-Mar-17,104.48,104.98,103.75,104.78,2148455
10,24-Mar-17,105.69,105.84,104.8,105.05,2526873
11,23-Mar-17,106.53,106.89,105.37,105.65,2414231
12,22-Mar-17,106.96,107.17,105.88,106.52,2282185
13,21-Mar-17,107.5,108.14,106.37,106.51,3088511
14,20-Mar-17,108.05,108.2,106.93,107.12,2370885
15,17-Mar-17,107.91,108.97,107.65,108.15,4412150
16,16-Mar-17,107.8,107.92,107.29,107.8,2409354
17,15-Mar-17,107.29,108.29,106.85,107.74,3253779
18,14-Mar-17,107.19,107.42,106.44,106.83,2748905
19,13-Mar-17,106.53,107.5,106.31,107.49,2644493
20,10-Mar-17,106.27,106.85,105.75,106.73,2957149
21,9-Mar-17,106.13,106.24,105.62,105.9,2301041
22,8-Mar-17,105.64,106.11,105.24,105.73,2269931
23,7-Mar-17,106.0,106.39,105.51,105.64,2186453
24,6-Mar-17,105.52,106.37,105.23,106.1,2481871
25,3-Mar-17,106.13,106.6,105.76,105.93,2732468
26,2-Mar-17,106.99,106.99,105.86,105.95,2490864
27,1-Mar-17,106.97,107.38,106.69,106.87,3386203
28,28-Feb-17,106.68,106.99,105.48,105.76,3794023
29,27-Feb-17,106.14,106.77,105.75,106.73,2776155
30,24-Feb-17,104.86,106.19,104.77,106.18,2717389
31,23-Feb-17,106.0,106.09,104.89,105.09,3976338
32,22-Feb-17,105.44,106.83,105.24,105.62,5234438
33,21-Feb-17,106.9,107.87,106.6,107.72,3822504
34,17-Feb-17,106.96,107.04,106.41,106.9,2918957
35,16-Feb-17,108.1,108.13,106.66,107.22,5150040
