,Date,Open,High,Low,Close,Volume
0,7-Apr-17,51.08,51.36,50.87,51.15,6827545
1,6-Apr-17,51.02,51.51,50.73,51.35,5855013
2,5-Apr-17,51.91,52.04,50.96,51.04,6138666
3,4-Apr-17,51.39,51.57,51.22,51.46,4158470
4,3-Apr-17,51.62,51.62,50.84,51.55,7447439
5,31-Mar-17,51.92,52.07,51.48,51.5,8197551
6,30-Mar-17,51.76,52.39,51.64,52.12,9350080
7,29-Mar-17,52.38,52.45,51.68,51.75,7380659
8,28-Mar-17,52.07,53.17,52.0,52.71,7736000
9,27-Mar-17,51.59,52.41,51.05,52.2,7300803
10,24-Mar-17,52.75,52.98,52.22,52.57,5948785
11,23-Mar-17,52.44,53.17,52.23,52.58,9022948
12,22-Mar-17,52.44,52.89,51.75,52.6,8299552
13,21-Mar-17,54.55,54.55,52.57,52.69,14211650
14,20-Mar-17,54.4,54.85,54.19,54.24,7706017
15,17-Mar-17,55.08,55.12,54.64,54.69,7085800
16,16-Mar-17,55.07,55.37,54.87,55.03,6326172
17,15-Mar-17,55.15,55.6,54.85,54.96,8487236
18,14-Mar-17,54.8,55.05,54.57,55.0,6130471
19,13-Mar-17,54.88,55.21,54.81,54.92,4690329
20,10-Mar-17,55.29,55.33,54.62,54.94,6721890
21,9-Mar-17,55.12,55.28,54.8,54.94,5236239
22,8-Mar-17,55.51,55.81,54.82,54.87,7809634
23,7-Mar-17,55.23,55.4,54.95,55.03,6678846
24,6-Mar-17,55.28,55.45,55.04,55.29,6118701
25,3-Mar-17,55.46,55.71,55.38,55.55,7278259
26,2-Mar-17,56.55,56.56,55.39,55.48,6431239
27,1-Mar-17,55.87,56.61,55.82,56.41,8689717
28,28-Feb-17,55.04,55.19,54.82,55.0,6846584
29,27-Feb-17,55.19,55.35,55.01,55.29,6378775
30,24-Feb-17,55.0,55.36,54.85,55.1,7596136
31,23-Feb-17,55.3,55.51,55.06,55.4,7267995
32,22-Feb-17,54.96,55.4,54.89,55.31,4851745
33,21-Feb-17,55.0,55.3,54.92,55.2,5639353
34,17-Feb-17,54.78,54.88,54.5,54.88,6011599
35,16-Feb-17,55.04,55.08,54.55,55.01,6204101
36,15-Feb-17,54.7,55.36,54.52,55.14,8029414
37,14-Feb-17,53.9,54.6,53.84,54.55,7728324
38,13-Feb-17,53.89,54.43,53.89,54.13,5709752
39,10-Feb-17,53.81,53.85,53.49,53.61,3892386
40,9-Feb-17,53.06,53.64,52.92,53.54,5054027
41,8-Feb-17,52.89,53.02,52.53,52.89,6397994
42,7-Feb-17,53.63,53.67,53.06,53.2,4749034
43,6-Feb-17,53.37,53.78,53.19,53.4,4904004
44,3-Feb-17,53.8,54.04,53.45,53.66,9104053
45,2-Feb-17,52.68,53.22,52.64,53.13,8700602
46,1-Feb-17,53.16,53.64,52.97,53.03,8413794
47,31-Jan-17,52.62,52.94,52.36,52.65,6736826
48,30-Jan-17,52.62,52.9,52.37,52.85,7540843
49,27-Jan-17,52.84,53.14,52.82,52.99,6893377
50,26-Jan-17,52.45,52.98,52.44,52.95,6494665
51,25-Jan-17,52.14,52.64,52.14,52.45,8731515
52,24-Jan-17,51.1,52.0,51.01,51.77,6531705
53,23-Jan-17,51.0,51.38,50.79,50.97,4858769
54,20-Jan-17,50.94,51.64,50.89,51.2,8865722
55,19-Jan-17,50.63,50.98,50.42,50.73,7151604
56,18-Jan-17,50.42,50.67,49.99,50.56,6525369
57,17-Jan-17,51.2,51.21,50.16,50.31,9415106
58,13-Jan-17,51.61,52.14,51.48,51.69,7876357
59,12-Jan-17,51.64,51.69,51.02,51.43,4538965
60,11-Jan-17,51.51,51.8,51.25,51.79,7233075
61,10-Jan-17,51.03,51.58,50.85,51.22,5231624
62,9-Jan-17,51.05,51.29,50.85,51.07,4338489
63,6-Jan-17,51.06,51.5,51.06,51.3,5078235
64,5-Jan-17,51.64,51.76,50.79,50.97,6574922
65,4-Jan-17,51.48,51.98,51.41,51.84,6198969
66,3-Jan-17,51.62,52.24,51.11,51.46,7859031
67,30-Dec-16,51.5,51.61,51.21,51.37,5184607
68,29-Dec-16,51.75,51.87,51.04,51.3,4625687
69,28-Dec-16,52.12,52.26,51.78,51.78,8111918
70,27-Dec-16,52.33,52.39,52.2,52.31,3135809
71,23-Dec-16,52.29,52.33,52.07,52.2,3773201
72,22-Dec-16,51.99,52.28,51.96,52.15,5141730
73,21-Dec-16,52.47,52.5,52.17,52.17,3872077
74,20-Dec-16,52.13,52.68,52.06,52.54,6144321
75,19-Dec-16,51.59,51.98,51.38,51.87,5439360
76,16-Dec-16,52.23,52.23,51.61,51.74,11033286
77,15-Dec-16,51.97,52.31,51.48,51.98,7601974
78,14-Dec-16,51.31,52.3,51.19,51.73,9356781
79,13-Dec-16,51.73,51.92,51.19,51.7,7358601
80,12-Dec-16,51.89,52.1,51.45,51.58,6113449
81,9-Dec-16,51.9,52.08,51.59,52.04,8612883
82,8-Dec-16,51.56,52.29,51.56,51.9,10423462
83,7-Dec-16,50.74,51.4,50.49,51.36,9558952
84,6-Dec-16,50.53,50.77,50.23,50.73,9259103
85,5-Dec-16,50.41,50.63,50.19,50.36,7209623
86,2-Dec-16,50.35,50.42,49.84,50.0,5864800
87,1-Dec-16,49.81,50.62,49.63,50.39,10571287
88,30-Nov-16,49.57,49.77,49.43,49.62,6887102
89,29-Nov-16,49.12,49.35,49.01,49.1,5726555
90,28-Nov-16,49.14,49.45,48.78,48.9,5887308
91,25-Nov-16,49.36,49.5,49.12,49.42,2631496
92,23-Nov-16,49.3,49.5,49.08,49.35,7054399
93,22-Nov-16,49.27,49.57,48.76,49.03,10580088
94,21-Nov-16,49.32,49.39,49.01,49.28,5184051
95,18-Nov-16,48.74,49.4,48.66,49.23,9090546
96,17-Nov-16,48.1,48.77,47.98,48.68,9369781
97,16-Nov-16,47.59,48.39,47.59,47.87,10900937
98,15-Nov-16,48.26,48.73,48.04,48.7,13446676
99,14-Nov-16,48.07,48.75,47.81,48.73,15228080
100,11-Nov-16,47.57,47.96,47.42,47.9,9661099
101,10-Nov-16,47.05,48.5,46.98,47.61,17493969
102,9-Nov-16,45.45,46.93,45.13,46.67,14953341
103,8-Nov-16,44.78,45.09,44.59,44.98,4516325
104,7-Nov-16,44.66,44.93,44.65,44.92,6908844
105,4-Nov-16,44.15,44.4,43.82,43.93,6284059
106,3-Nov-16,44.01,44.48,43.92,44.05,5532838
107,2-Nov-16,44.24,44.33,43.92,44.0,7793969
108,1-Nov-16,44.88,45.0,44.1,44.46,9440337
109,31-Oct-16,44.82,44.96,44.69,44.76,7262159
110,28-Oct-16,44.79,44.9,44.39,44.64,8548425
111,27-Oct-16,44.43,45.14,44.38,44.7,12715565
112,26-Oct-16,43.72,44.37,43.7,44.23,6012469
113,25-Oct-16,43.96,44.17,43.78,43.84,5589554
114,24-Oct-16,44.08,44.15,43.94,44.02,4919544
115,21-Oct-16,43.59,43.89,43.5,43.85,6422391
116,20-Oct-16,43.59,44.09,43.52,43.95,8553044
117,19-Oct-16,44.19,44.19,42.85,43.58,10319343
118,18-Oct-16,43.14,43.2,42.83,43.01,6297949
119,17-Oct-16,42.88,43.06,42.52,42.72,6288114
120,14-Oct-16,43.32,43.44,42.72,42.85,5785382
121,13-Oct-16,43.01,43.01,42.37,42.88,6522003
122,12-Oct-16,43.36,43.68,43.28,43.4,4025201
123,11-Oct-16,43.79,43.84,43.06,43.29,6334699
124,10-Oct-16,43.92,43.99,43.67,43.8,4797371
125,7-Oct-16,43.89,43.96,43.39,43.7,6560314
126,6-Oct-16,43.75,44.0,43.45,43.89,12170205
127,5-Oct-16,43.06,43.81,43.02,43.65,6858522
128,4-Oct-16,42.74,43.15,42.5,42.85,8364680
129,3-Oct-16,42.69,42.82,42.45,42.66,5421920
130,30-Sep-16,42.7,43.16,42.58,42.89,7613621
131,29-Sep-16,42.66,43.24,42.35,42.48,7683871
132,28-Sep-16,42.79,42.97,42.38,42.81,4482646
133,27-Sep-16,42.32,42.92,42.17,42.9,6747795
134,26-Sep-16,42.69,42.78,42.4,42.47,8526228
135,23-Sep-16,42.75,43.27,42.7,42.96,5960313
136,22-Sep-16,43.37,43.54,43.12,43.17,4788200
137,21-Sep-16,43.25,43.43,42.97,43.26,7157051
138,20-Sep-16,43.18,43.25,42.82,43.02,7091991
139,19-Sep-16,42.74,43.12,42.58,42.86,5492619
140,16-Sep-16,42.73,42.79,42.41,42.6,9204925
141,15-Sep-16,42.44,43.11,42.18,43.03,10511072
142,14-Sep-16,43.16,43.44,42.86,42.92,6161420
143,13-Sep-16,43.31,43.46,42.96,43.23,7898552
144,12-Sep-16,43.19,43.91,42.83,43.8,9275984
145,9-Sep-16,43.84,43.96,43.41,43.41,6671213
146,8-Sep-16,43.63,43.94,43.58,43.84,6421655
147,7-Sep-16,43.74,43.88,43.57,43.66,7524192
148,6-Sep-16,44.12,44.18,43.61,43.86,6601841
149,2-Sep-16,44.2,44.22,43.93,44.16,4257445
150,1-Sep-16,44.25,44.26,43.66,44.03,5195535
151,31-Aug-16,44.1,44.23,43.75,44.15,6994746
152,30-Aug-16,43.82,44.1,43.78,44.08,5560605
153,29-Aug-16,43.51,44.11,43.51,43.84,7241274
154,26-Aug-16,43.45,43.63,43.18,43.4,6590665
155,25-Aug-16,43.28,43.55,43.25,43.4,5771885
156,24-Aug-16,43.5,43.66,43.16,43.24,8589783
157,23-Aug-16,43.45,43.66,43.43,43.44,4160538
158,22-Aug-16,43.2,43.4,43.16,43.37,3386637
159,19-Aug-16,43.16,43.41,43.01,43.35,3977552
160,18-Aug-16,43.11,43.29,43.04,43.22,4652549
161,17-Aug-16,43.08,43.38,43.02,43.22,6347953
162,16-Aug-16,42.74,43.13,42.72,43.02,4833035
163,15-Aug-16,42.77,43.04,42.77,42.98,5279100
164,12-Aug-16,42.48,42.77,42.39,42.73,4349232
165,11-Aug-16,42.66,42.92,42.42,42.82,6211571
166,10-Aug-16,42.94,42.99,42.44,42.5,3746842
167,9-Aug-16,42.94,43.05,42.73,42.83,3698294
168,8-Aug-16,42.99,43.15,42.86,42.94,4461190
169,5-Aug-16,42.63,42.97,42.37,42.97,7568899
170,4-Aug-16,42.03,42.26,41.96,42.03,4167689
171,3-Aug-16,41.55,42.25,41.47,42.13,6723229
172,2-Aug-16,41.51,41.68,41.12,41.43,5858271
173,1-Aug-16,42.15,42.22,41.61,41.68,5488901
174,29-Jul-16,41.92,42.34,41.92,42.17,5802687
175,28-Jul-16,41.88,42.2,41.7,42.08,3934941
176,27-Jul-16,41.96,42.2,41.87,42.01,5483498
177,26-Jul-16,41.82,42.14,41.77,41.97,4879463
178,25-Jul-16,42.1,42.18,41.79,41.97,4752829
179,22-Jul-16,41.98,42.24,41.83,42.19,5021510
180,21-Jul-16,41.97,42.18,41.83,41.88,5160261
181,20-Jul-16,42.1,42.16,41.9,41.97,4924347
182,19-Jul-16,41.71,42.04,41.6,41.97,6774574
183,18-Jul-16,41.73,42.09,41.73,41.88,8616154
184,15-Jul-16,42.4,42.5,41.44,41.89,9964732
185,14-Jul-16,41.38,41.51,41.17,41.25,12183364
186,13-Jul-16,40.75,40.9,40.47,40.63,6239897
187,12-Jul-16,40.56,40.86,40.53,40.67,6378092
188,11-Jul-16,40.4,40.52,40.24,40.3,4417223
189,8-Jul-16,39.84,40.26,39.84,40.09,6015163
190,7-Jul-16,39.16,39.62,39.02,39.23,5510582
191,6-Jul-16,38.73,39.32,38.63,39.2,6255745
192,5-Jul-16,39.67,39.78,38.9,39.06,5955852
193,1-Jul-16,40.15,40.26,39.91,40.06,4684419
194,30-Jun-16,39.97,40.34,39.59,40.33,8765097
195,29-Jun-16,39.59,39.75,39.14,39.68,6242185
196,28-Jun-16,39.09,39.22,38.48,39.08,10100584
197,27-Jun-16,39.23,39.26,38.49,38.69,13020329
198,24-Jun-16,40.22,41.12,39.83,39.86,13335733
199,23-Jun-16,41.92,42.24,41.88,42.23,7393729
200,22-Jun-16,41.35,41.86,41.32,41.35,4486938
201,21-Jun-16,41.48,41.51,41.09,41.37,4447771
202,20-Jun-16,41.75,42.0,41.16,41.22,5766545
203,17-Jun-16,41.06,41.32,40.79,41.11,8413002
204,16-Jun-16,40.65,41.08,40.34,41.06,6459216
205,15-Jun-16,41.25,41.62,40.98,41.02,7863875
206,14-Jun-16,41.53,41.77,40.94,41.19,8446008
207,13-Jun-16,41.71,42.12,41.67,41.68,6688722
208,10-Jun-16,42.03,42.22,41.87,41.96,7329345
209,9-Jun-16,42.46,42.58,42.03,42.54,5936909
