,Date,Open,High,Low,Close,Volume
0,7-Apr-17,88.97,89.24,88.52,88.74,5439513
1,6-Apr-17,89.0,89.26,88.78,89.09,8473909
2,5-Apr-17,89.13,90.2,88.95,89.03,7251617
3,4-Apr-17,89.01,89.33,88.66,88.78,4859944
4,3-Apr-17,89.14,89.46,88.4,89.36,9125775
5,31-Mar-17,88.98,89.35,88.87,88.87,6429764
6,30-Mar-17,89.08,89.1,88.6,89.01,6227073
7,29-Mar-17,88.99,89.39,88.56,89.18,4737996
8,28-Mar-17,89.12,89.42,88.49,89.12,7045509
9,27-Mar-17,88.31,88.99,88.07,88.95,5230008
10,24-Mar-17,89.06,89.6,88.97,89.19,7597620
11,23-Mar-17,88.47,89.39,88.42,88.86,7710654
12,22-Mar-17,87.85,89.04,87.85,88.52,7828563
13,21-Mar-17,89.49,89.71,88.0,88.06,11092126
14,20-Mar-17,90.29,92.05,88.96,89.18,9438042
15,17-Mar-17,90.25,90.63,90.17,90.24,8613377
16,16-Mar-17,90.31,90.33,89.47,90.04,9174440
17,15-Mar-17,89.75,90.1,89.41,89.92,6350706
18,14-Mar-17,89.93,90.03,89.24,89.55,6009803
19,13-Mar-17,89.8,90.31,89.61,90.11,8944143
20,10-Mar-17,89.5,89.86,89.1,89.73,12247187
21,9-Mar-17,89.02,89.5,88.71,89.11,5953875
22,8-Mar-17,89.17,89.3,88.87,88.96,5866775
23,7-Mar-17,88.99,89.3,88.85,89.06,5688364
24,6-Mar-17,88.53,89.27,88.27,88.94,7347648
25,3-Mar-17,88.31,88.91,88.18,88.79,5713897
26,2-Mar-17,89.0,89.13,88.1,88.53,10544171
27,1-Mar-17,88.74,89.14,88.42,88.99,11131368
28,28-Feb-17,88.16,88.38,87.76,87.94,8521926
29,27-Feb-17,88.32,88.38,87.91,88.0,6131649
30,24-Feb-17,87.36,88.43,87.3,88.43,5151311
31,23-Feb-17,88.23,88.49,87.87,88.18,6040523
32,22-Feb-17,87.61,88.15,87.51,87.8,8389934
33,21-Feb-17,87.51,88.04,87.17,87.92,9301250
34,17-Feb-17,87.27,87.68,86.98,87.46,5887160
35,16-Feb-17,87.55,87.68,86.79,87.41,8680571
36,15-Feb-17,87.02,87.54,86.7,87.54,8049742
37,14-Feb-17,86.52,86.97,86.26,86.85,5952016
38,13-Feb-17,86.2,86.7,86.0,86.44,6046310
