,Date,Open,High,Low,Close,Volume
0,7-Apr-17,48.48,48.92,48.26,48.66,17269561
1,6-Apr-17,48.52,48.6,48.17,48.43,18456149
2,5-Apr-17,49.43,49.55,49.01,49.02,14327569
3,4-Apr-17,49.1,49.32,48.88,49.31,8952835
4,3-Apr-17,48.73,49.25,48.59,49.18,14307412
5,31-Mar-17,49.1,49.1,48.75,48.75,19299124
6,30-Mar-17,49.0,49.24,48.9,49.06,11623010
7,29-Mar-17,49.28,49.37,49.03,49.13,11160787
8,28-Mar-17,49.01,49.34,48.67,49.3,12856251
9,27-Mar-17,49.68,49.76,48.92,49.14,13270862
10,24-Mar-17,49.7,49.83,49.5,49.68,9310665
11,23-Mar-17,49.75,49.88,49.42,49.64,9644949
12,22-Mar-17,50.13,50.28,49.4,49.71,14950443
13,21-Mar-17,50.48,50.63,50.12,50.16,15196517
14,20-Mar-17,50.42,50.61,50.14,50.24,9455972
15,17-Mar-17,50.19,50.42,50.02,50.39,21071260
16,16-Mar-17,50.02,50.25,49.85,50.04,10861242
17,15-Mar-17,49.26,50.25,49.26,50.14,12660774
18,14-Mar-17,49.44,49.62,49.25,49.36,8496589
19,13-Mar-17,49.33,49.53,49.13,49.47,10488812
20,10-Mar-17,49.5,49.52,49.1,49.35,11181598
21,9-Mar-17,49.23,49.45,49.08,49.28,10590012
22,8-Mar-17,49.3,49.33,48.9,49.16,14206492
23,7-Mar-17,50.0,50.06,49.36,49.44,12896873
24,6-Mar-17,50.03,50.14,49.84,50.03,10827336
25,3-Mar-17,50.05,50.14,49.8,50.09,11075118
26,2-Mar-17,49.69,50.02,49.6,49.98,10773372
27,1-Mar-17,49.56,49.98,49.37,49.81,16095603
28,28-Feb-17,49.96,50.03,49.41,49.63,17699168
29,27-Feb-17,50.49,50.55,49.8,49.94,14029458
30,24-Feb-17,50.28,50.94,50.28,50.6,14357936
31,23-Feb-17,49.98,50.5,49.67,50.31,16211994
32,22-Feb-17,49.5,49.7,49.48,49.67,13653423
33,21-Feb-17,49.51,49.69,49.23,49.43,19205958
34,17-Feb-17,48.31,49.3,48.13,49.19,23190659
35,16-Feb-17,48.03,48.52,47.89,48.46,18706949
36,15-Feb-17,48.0,48.1,47.8,48.08,19297054
37,14-Feb-17,48.31,48.47,47.99,48.27,20847187
38,13-Feb-17,48.27,48.62,48.08,48.55,18305342
39,10-Feb-17,48.94,49.12,48.69,48.98,12317356
40,9-Feb-17,48.52,48.96,48.41,48.81,13577346
41,8-Feb-17,48.15,48.57,48.1,48.37,13962834
42,7-Feb-17,48.13,48.16,47.8,48.04,12771905
43,6-Feb-17,48.67,48.67,47.94,48.03,16151442
44,3-Feb-17,48.45,48.62,48.33,48.58,15166438
45,2-Feb-17,48.54,48.59,47.9,48.28,17787157
46,1-Feb-17,49.34,49.37,48.25,48.39,26004051
47,31-Jan-17,49.21,49.47,48.93,49.01,16844160
48,30-Jan-17,49.49,49.84,49.18,49.37,12148701
49,27-Jan-17,49.35,49.73,49.27,49.6,18369275
50,26-Jan-17,48.75,49.47,48.51,49.12,37877112
51,25-Jan-17,49.5,49.94,48.84,49.77,30398594
52,24-Jan-17,50.26,50.79,49.79,50.12,43484680
53,23-Jan-17,52.46,52.7,52.18,52.41,15695475
54,20-Jan-17,52.6,53.2,52.56,52.72,15473748
55,19-Jan-17,52.55,52.64,52.18,52.36,13286142
56,18-Jan-17,52.52,52.84,52.21,52.25,12930855
57,17-Jan-17,52.55,52.89,52.5,52.74,11383490
58,13-Jan-17,52.72,52.9,52.41,52.55,9458660
59,12-Jan-17,52.43,52.89,52.26,52.68,11052102
60,11-Jan-17,52.62,52.75,52.24,52.46,16142843
61,10-Jan-17,52.69,53.16,52.02,52.76,11787399
62,9-Jan-17,53.22,53.26,52.67,52.68,14097190
63,6-Jan-17,53.67,53.78,53.1,53.26,15615037
64,5-Jan-17,54.78,54.83,54.3,54.64,13840590
65,4-Jan-17,54.55,54.81,54.33,54.52,18316075
66,3-Jan-17,53.96,54.67,53.73,54.58,22891725
67,30-Dec-16,53.55,53.64,53.17,53.38,12440847
68,29-Dec-16,53.59,53.9,53.51,53.74,7150762
69,28-Dec-16,53.63,53.83,53.37,53.44,6849472
70,27-Dec-16,53.69,53.83,53.44,53.64,6255400
71,23-Dec-16,53.65,53.75,53.44,53.68,7201173
72,22-Dec-16,52.85,53.74,52.72,53.65,11101456
73,21-Dec-16,53.09,53.43,52.97,52.97,9656718
74,20-Dec-16,52.93,53.46,52.93,53.12,10366942
75,19-Dec-16,52.48,53.13,52.09,52.91,13406960
76,16-Dec-16,52.06,52.28,51.86,52.27,21262525
77,15-Dec-16,51.37,52.12,51.24,51.81,13963553
78,14-Dec-16,52.46,52.66,51.4,51.63,19920424
79,13-Dec-16,52.08,52.37,52.06,52.36,12211522
80,12-Dec-16,51.54,52.43,51.48,51.76,16186418
81,9-Dec-16,51.09,51.63,50.92,51.49,10101462
82,8-Dec-16,51.23,51.28,50.98,51.13,11502897
83,7-Dec-16,50.72,51.43,50.44,51.38,16280568
84,6-Dec-16,50.15,50.62,49.76,50.36,13581523
85,5-Dec-16,49.74,50.08,49.74,49.75,13074713
86,2-Dec-16,50.0,50.32,49.6,49.81,10650716
