,Date,Open,High,Low,Close,Volume
0,7-Apr-17,81.8,82.94,81.66,82.33,5576132
1,6-Apr-17,81.2,81.91,80.92,81.66,4696691
2,5-Apr-17,82.98,83.1,80.3,81.17,12117445
3,4-Apr-17,82.84,83.61,82.39,82.5,3273405
4,3-Apr-17,83.36,83.75,82.8,82.95,3283623
5,31-Mar-17,83.11,83.69,83.03,83.05,3133198
6,30-Mar-17,83.65,83.79,83.1,83.31,2437968
7,29-Mar-17,83.6,83.87,83.31,83.77,2016580
8,28-Mar-17,83.29,84.02,83.1,83.74,3053042
9,27-Mar-17,82.71,83.62,82.55,83.56,2410041
10,24-Mar-17,83.25,83.34,82.61,82.97,2110083
11,23-Mar-17,82.89,83.47,82.59,82.98,2501173
12,22-Mar-17,83.49,83.85,82.55,83.03,4488298
13,21-Mar-17,84.76,84.91,82.77,83.21,5072986
14,20-Mar-17,85.77,85.86,84.55,84.63,3579559
15,17-Mar-17,86.25,86.25,85.04,85.91,7254687
16,16-Mar-17,85.61,86.04,85.22,85.67,3356110
17,15-Mar-17,85.53,85.95,84.71,85.8,3921032
18,14-Mar-17,85.45,85.5,84.63,85.4,3257320
19,13-Mar-17,85.42,85.76,85.07,85.61,2417742
20,10-Mar-17,85.93,86.06,85.34,85.63,2601035
21,9-Mar-17,85.26,85.81,84.45,85.31,2520986
22,8-Mar-17,85.99,85.99,85.12,85.16,2898421
23,7-Mar-17,85.46,86.32,85.36,85.99,2407972
24,6-Mar-17,85.58,86.44,85.36,85.88,2437548
25,3-Mar-17,86.66,86.91,85.24,85.89,3157970
26,2-Mar-17,86.5,87.03,86.32,86.74,3097105
27,1-Mar-17,86.82,87.23,86.4,86.77,3390496
28,28-Feb-17,87.13,87.13,85.59,86.38,3879904
29,27-Feb-17,87.47,87.58,87.05,87.22,2032133
30,24-Feb-17,86.86,87.63,86.73,87.61,2890852
31,23-Feb-17,86.47,87.82,83.99,86.99,3437222
32,22-Feb-17,86.43,86.57,85.9,86.29,3047701
33,21-Feb-17,88.0,88.0,85.89,86.41,3430698
34,17-Feb-17,85.54,86.1,85.37,85.86,4106620
35,16-Feb-17,84.2,86.12,84.0,85.65,6373665
36,15-Feb-17,83.74,84.38,83.61,84.25,2736127
37,14-Feb-17,83.33,83.88,83.06,83.79,5095885
