,Date,Open,High,Low,Close,Volume
0,7-Apr-17,54.94,55.31,54.61,54.84,15848831
1,6-Apr-17,54.95,55.65,54.7,55.37,10387536
2,5-Apr-17,55.79,56.2,54.93,54.98,17411708
3,4-Apr-17,55.3,55.33,54.98,55.2,11937360
4,3-Apr-17,55.7,55.82,54.79,55.49,14550739
5,31-Mar-17,56.02,56.18,55.62,55.66,11864615
6,30-Mar-17,55.68,56.43,55.61,56.24,12106538
7,29-Mar-17,55.94,56.09,55.55,55.67,10329113
8,28-Mar-17,55.35,56.25,55.24,55.96,14878890
9,27-Mar-17,54.63,55.58,54.24,55.39,16854761
10,24-Mar-17,55.5,56.05,55.22,55.83,21127464
11,23-Mar-17,55.23,55.99,54.98,55.25,18999983
12,22-Mar-17,55.53,55.57,54.85,55.33,27740860
13,21-Mar-17,57.93,57.96,55.63,55.85,31766385
14,20-Mar-17,58.47,58.47,57.62,57.63,17663194
15,17-Mar-17,59.37,59.41,58.52,58.67,20985674
16,16-Mar-17,58.86,59.41,58.76,59.32,18468200
17,15-Mar-17,58.9,59.31,58.36,58.71,17777338
18,14-Mar-17,58.49,58.81,58.24,58.76,10885031
19,13-Mar-17,58.83,59.03,58.52,58.7,14063472
20,10-Mar-17,58.98,59.18,58.52,58.85,15120176
21,9-Mar-17,58.46,58.87,58.2,58.7,15721476
22,8-Mar-17,58.95,59.13,58.16,58.21,14711295
23,7-Mar-17,58.43,58.52,58.02,58.3,13099877
24,6-Mar-17,58.54,58.88,58.18,58.61,13225468
25,3-Mar-17,58.85,59.24,58.67,58.89,14753743
26,2-Mar-17,59.78,59.79,58.56,58.71,17578616
27,1-Mar-17,59.11,59.99,59.09,59.73,25912728
28,28-Feb-17,57.99,58.32,57.73,57.88,15558884
29,27-Feb-17,57.81,58.25,57.71,58.06,10101035
30,24-Feb-17,57.7,57.91,57.32,57.81,16379051
31,23-Feb-17,58.43,58.59,58.06,58.49,13841369
32,22-Feb-17,58.0,58.59,58.0,58.36,12344234
33,21-Feb-17,58.25,58.63,57.9,58.25,16916750
34,17-Feb-17,57.58,58.1,57.45,58.09,15783230
35,16-Feb-17,58.36,58.36,57.51,58.12,14694501
36,15-Feb-17,58.1,59.0,57.89,58.55,25350371
37,14-Feb-17,57.13,58.0,56.99,57.98,16382857
38,13-Feb-17,57.07,57.51,56.89,57.08,15325274
