,Date,Open,High,Low,Close,Volume
0,7-Apr-17,72.1,72.99,71.8,72.9,10768016
1,6-Apr-17,71.7,72.1,71.38,71.43,5941103
2,5-Apr-17,71.64,72.31,71.56,71.65,6354492
3,4-Apr-17,71.74,72.06,71.53,72.01,5567317
4,3-Apr-17,72.08,72.53,71.78,71.83,8291283
5,31-Mar-17,71.32,72.56,71.23,72.08,9939780
6,30-Mar-17,70.69,71.72,70.64,71.59,8141535
7,29-Mar-17,70.35,71.18,70.31,70.74,6991046
8,28-Mar-17,69.33,70.37,69.33,70.32,7252189
9,27-Mar-17,69.52,70.07,69.36,69.66,5792586
10,24-Mar-17,69.99,70.17,69.53,69.61,5858968
11,23-Mar-17,70.2,70.31,69.74,69.86,6898774
12,22-Mar-17,70.03,70.34,69.72,70.25,6455594
13,21-Mar-17,70.17,70.4,69.69,69.9,8746812
14,20-Mar-17,70.14,70.45,69.71,69.98,7466226
15,17-Mar-17,70.58,70.75,69.81,69.89,14078353
16,16-Mar-17,70.11,70.7,70.07,70.44,7060977
17,15-Mar-17,70.5,70.7,70.02,70.58,8813794
18,14-Mar-17,70.82,71.2,70.72,70.72,9958370
19,13-Mar-17,69.99,70.45,69.71,69.95,6802511
20,10-Mar-17,70.0,70.36,69.8,70.1,7098829
21,9-Mar-17,69.75,70.04,69.56,69.86,7564480
22,8-Mar-17,69.69,70.03,69.54,69.8,7979841
23,7-Mar-17,69.9,70.21,69.86,69.87,7282861
24,6-Mar-17,70.0,70.44,69.78,69.88,9182575
25,3-Mar-17,70.81,71.02,69.88,70.03,9303591
26,2-Mar-17,70.42,70.9,70.17,70.76,8916264
27,1-Mar-17,70.97,71.08,70.15,70.45,13522717
28,28-Feb-17,70.87,71.0,70.0,70.93,15952573
29,27-Feb-17,72.28,72.42,71.52,71.74,9254685
30,24-Feb-17,71.34,72.8,71.3,72.39,13889852
31,23-Feb-17,72.0,72.5,71.16,71.31,12799700
32,22-Feb-17,72.25,72.37,71.48,71.71,15242674
33,21-Feb-17,71.21,72.28,70.7,71.45,22412893
34,17-Feb-17,68.83,69.78,68.7,69.37,12837447
35,16-Feb-17,68.67,69.24,68.61,68.87,8413787
36,15-Feb-17,67.8,68.71,67.76,68.69,8563295
37,14-Feb-17,67.88,68.68,67.71,68.66,8462328
38,13-Feb-17,68.32,68.65,67.56,67.77,8374307
39,10-Feb-17,68.25,68.6,67.76,68.02,12445633
40,9-Feb-17,67.8,69.14,67.75,69.08,11080479
41,8-Feb-17,66.89,67.82,66.89,67.81,7660755
42,7-Feb-17,66.56,67.0,66.51,66.89,5805722
43,6-Feb-17,66.37,66.86,66.37,66.4,9097238
44,3-Feb-17,66.82,66.93,66.44,66.5,7625330
45,2-Feb-17,66.34,67.14,66.34,66.7,8998739
46,1-Feb-17,66.46,66.71,66.04,66.23,9049972
47,31-Jan-17,66.21,66.89,65.88,66.74,9320880
48,30-Jan-17,65.63,66.48,65.63,66.42,8641511
49,27-Jan-17,66.86,66.97,65.28,65.66,13433629
50,26-Jan-17,67.13,67.22,66.62,66.73,6504073
51,25-Jan-17,67.52,67.73,66.79,66.89,8722855
52,24-Jan-17,66.89,67.41,66.66,67.4,10710616
53,23-Jan-17,67.01,67.18,66.56,66.65,7951427
54,20-Jan-17,67.74,67.83,67.02,67.18,12054682
55,19-Jan-17,68.13,68.19,67.48,67.62,6821078
56,18-Jan-17,67.88,68.11,67.54,68.11,7321456
57,17-Jan-17,68.09,69.29,68.06,68.42,13167509
58,13-Jan-17,67.98,68.02,67.08,67.13,10012519
59,12-Jan-17,68.36,68.56,67.92,67.97,6544856
60,11-Jan-17,68.2,68.62,68.19,68.53,6697593
61,10-Jan-17,68.64,69.27,68.22,68.23,10256492
62,9-Jan-17,68.33,68.8,68.32,68.71,8685232
63,6-Jan-17,68.41,68.5,68.01,68.26,9491115
64,5-Jan-17,68.43,69.33,68.12,69.21,7099170
65,4-Jan-17,68.66,69.63,68.6,69.06,7917952
66,3-Jan-17,69.24,69.24,68.05,68.66,10473162
67,30-Dec-16,69.12,69.43,68.83,69.12,6889488
68,29-Dec-16,69.21,69.52,69.12,69.26,4298446
69,28-Dec-16,69.94,70.0,69.26,69.31,4875651
70,27-Dec-16,69.3,69.82,69.25,69.7,4435668
71,23-Dec-16,69.43,69.75,69.36,69.54,4803947
72,22-Dec-16,71.24,71.24,69.21,69.59,12106782
73,21-Dec-16,71.66,72.0,71.24,71.24,5100967
74,20-Dec-16,71.73,71.93,71.51,71.82,6108070
75,19-Dec-16,70.84,71.75,70.84,71.58,5889328
76,16-Dec-16,71.07,71.64,70.6,70.98,17844831
77,15-Dec-16,71.22,71.8,71.03,71.08,7136295
78,14-Dec-16,71.9,72.48,71.18,71.34,8669378
79,13-Dec-16,71.67,72.23,71.61,71.8,8887510
80,12-Dec-16,70.07,71.78,70.02,71.67,9084076
81,9-Dec-16,70.27,70.43,69.74,70.08,10756653
82,8-Dec-16,70.48,70.9,70.32,70.34,6844217
83,7-Dec-16,69.93,70.65,69.9,70.6,6966249
84,6-Dec-16,70.01,70.39,69.5,70.36,7778009
85,5-Dec-16,70.9,70.99,69.81,69.94,10527877
86,2-Dec-16,70.58,70.95,70.45,70.88,6674206
87,1-Dec-16,70.25,70.73,70.05,70.67,6849803
88,30-Nov-16,70.92,71.16,70.16,70.43,9326127
89,29-Nov-16,71.38,71.79,71.2,71.37,7310092
90,28-Nov-16,70.93,71.52,70.8,71.19,7099193
91,25-Nov-16,71.11,71.65,70.98,71.23,4234383
92,23-Nov-16,70.22,70.88,70.18,70.83,7442950
93,22-Nov-16,69.73,70.42,69.73,70.12,10984049
94,21-Nov-16,68.61,69.4,68.42,69.37,8355966
95,18-Nov-16,68.93,69.4,68.44,68.54,11135265
96,17-Nov-16,69.08,69.52,68.12,69.19,23250871
97,16-Nov-16,71.75,72.06,71.33,71.39,11192448
98,15-Nov-16,70.79,71.42,70.35,71.42,9725063
99,14-Nov-16,71.16,71.31,70.19,70.49,12917474
100,11-Nov-16,71.11,71.28,70.6,71.23,8223872
101,10-Nov-16,71.25,72.09,71.0,71.39,14321300
102,9-Nov-16,69.3,71.5,69.29,71.1,16779465
103,8-Nov-16,69.71,70.04,69.47,69.79,7621295
104,7-Nov-16,69.62,69.84,69.16,69.78,9755441
105,4-Nov-16,69.71,69.94,69.13,69.16,7262105
106,3-Nov-16,69.63,70.08,69.35,69.63,6803940
107,2-Nov-16,69.2,69.97,69.2,69.45,7645275
108,1-Nov-16,69.98,70.06,69.14,69.3,8838603
109,31-Oct-16,70.06,70.17,69.85,70.02,6389047
110,28-Oct-16,69.8,70.21,69.73,69.99,6952858
111,27-Oct-16,69.6,70.0,69.39,69.83,7131613
112,26-Oct-16,69.3,69.81,69.14,69.59,5050540
113,25-Oct-16,69.01,69.87,69.0,69.36,7629748
114,24-Oct-16,68.62,69.37,68.39,69.19,7163632
115,21-Oct-16,68.34,68.63,67.99,68.34,7844583
116,20-Oct-16,68.98,69.08,68.57,68.73,6294027
117,19-Oct-16,69.22,69.34,68.7,68.89,7123273
118,18-Oct-16,68.57,68.98,68.23,68.87,7857699
119,17-Oct-16,68.65,68.65,67.8,68.22,7493385
120,14-Oct-16,68.42,68.81,68.21,68.45,6416018
121,13-Oct-16,67.19,68.54,67.07,68.23,9193819
122,12-Oct-16,67.74,67.91,67.37,67.46,8940655
123,11-Oct-16,67.95,67.96,67.3,67.39,8591494
124,10-Oct-16,68.75,68.96,67.75,67.98,8988413
125,7-Oct-16,69.26,69.47,68.17,68.7,12653847
126,6-Oct-16,70.2,70.43,68.89,69.36,20110251
127,5-Oct-16,71.87,72.26,71.6,71.67,6464442
128,4-Oct-16,72.0,72.57,71.55,71.75,6569284
129,3-Oct-16,71.83,72.14,71.6,72.01,5857743
130,30-Sep-16,71.5,72.46,71.4,72.12,9982598
131,29-Sep-16,71.57,71.71,70.62,70.73,7996767
132,28-Sep-16,72.22,72.32,71.38,71.79,6184932
133,27-Sep-16,71.93,72.49,71.58,72.33,6344407
134,26-Sep-16,72.31,72.33,71.52,71.62,5948719
135,23-Sep-16,72.6,72.77,72.34,72.35,7696449
136,22-Sep-16,72.43,72.54,71.99,72.27,5871871
137,21-Sep-16,72.18,72.54,71.51,72.19,6675884
138,20-Sep-16,72.15,72.55,71.9,71.97,5910577
139,19-Sep-16,72.64,72.87,72.09,72.09,6920677
140,16-Sep-16,72.32,72.96,72.22,72.87,13935682
141,15-Sep-16,71.48,72.56,71.26,72.4,7331974
142,14-Sep-16,71.62,72.06,71.4,71.52,6980495
143,13-Sep-16,71.84,71.91,71.15,71.46,7507915
144,12-Sep-16,70.79,72.24,70.72,71.94,10864043
145,9-Sep-16,71.32,71.51,70.3,70.3,12172571
146,8-Sep-16,71.89,72.32,71.71,71.83,9661224
147,7-Sep-16,73.0,73.05,72.01,72.06,9618272
148,6-Sep-16,72.76,73.08,72.2,73.0,9570905
149,2-Sep-16,72.99,73.19,72.42,72.5,8075299
150,1-Sep-16,71.57,72.86,71.41,72.84,11761356
151,31-Aug-16,71.46,71.64,71.15,71.44,6311636
152,30-Aug-16,71.76,71.76,71.15,71.31,5774180
153,29-Aug-16,71.14,71.66,71.1,71.4,7468105
154,26-Aug-16,71.41,71.69,70.89,71.14,10038464
155,25-Aug-16,72.37,72.58,71.05,71.22,10514203
156,24-Aug-16,71.97,72.75,71.76,72.23,10050690
157,23-Aug-16,72.89,73.07,71.96,71.97,9391390
158,22-Aug-16,73.06,73.14,72.45,72.7,10312074
159,19-Aug-16,74.1,74.29,72.67,72.81,15346426
160,18-Aug-16,74.94,75.19,73.87,74.3,26858329
161,17-Aug-16,71.99,72.95,71.99,72.93,14343332
162,16-Aug-16,72.59,73.31,72.21,72.89,9763349
163,15-Aug-16,73.81,74.01,73.11,73.32,9636116
164,12-Aug-16,73.8,74.12,73.56,73.89,9994186
165,11-Aug-16,74.5,74.8,73.53,73.8,6290331
166,10-Aug-16,73.57,74.51,73.39,73.95,8052272
167,9-Aug-16,73.36,73.88,73.08,73.54,6427875
168,8-Aug-16,74.0,74.07,73.04,73.34,6577187
169,5-Aug-16,73.46,73.95,73.46,73.76,5415442
170,4-Aug-16,72.8,73.49,72.59,73.3,4944907
171,3-Aug-16,73.0,73.4,72.51,72.94,6568133
172,2-Aug-16,73.7,73.72,72.63,73.13,6513056
173,1-Aug-16,72.81,73.99,72.81,73.78,5868395
174,29-Jul-16,73.17,73.25,72.76,72.97,6302187
175,28-Jul-16,73.14,73.32,72.47,73.24,4603167
176,27-Jul-16,73.66,73.82,73.14,73.32,5777916
177,26-Jul-16,73.71,74.07,73.41,73.73,5248283
178,25-Jul-16,73.55,73.84,73.41,73.75,4733956
179,22-Jul-16,73.76,73.91,73.42,73.55,4316633
180,21-Jul-16,73.43,73.66,73.14,73.52,4432231
181,20-Jul-16,73.88,74.11,73.63,73.79,5281986
182,19-Jul-16,73.64,73.96,73.58,73.66,4798083
183,18-Jul-16,73.64,74.18,73.53,73.84,5457313
184,15-Jul-16,73.98,74.01,73.44,73.67,5994796
185,14-Jul-16,73.79,74.11,73.61,73.7,6646403
186,13-Jul-16,73.25,73.63,72.94,73.62,6398960
187,12-Jul-16,73.56,73.73,73.0,73.27,12361175
188,11-Jul-16,73.67,74.35,73.5,74.06,9040070
189,8-Jul-16,73.82,73.85,73.24,73.84,9127565
190,7-Jul-16,73.73,73.93,73.15,73.53,7486861
191,6-Jul-16,73.26,73.98,73.17,73.82,11062733
192,5-Jul-16,72.75,73.62,72.68,73.14,10748626
