,Date,Open,High,Low,Close,Volume
0,7-Apr-17,83.24,83.36,82.68,82.76,8909620
1,6-Apr-17,82.75,83.21,82.46,83.01,9554910
2,5-Apr-17,82.85,83.55,82.47,82.53,13809062
3,4-Apr-17,82.1,82.42,81.33,82.37,9270872
4,3-Apr-17,82.02,82.31,81.35,82.07,11438652
5,31-Mar-17,83.26,83.31,81.86,82.01,21750398
6,30-Mar-17,82.03,83.87,81.94,83.7,44704931
7,29-Mar-17,81.69,82.28,81.55,82.02,8495457
8,28-Mar-17,81.32,82.02,80.96,81.84,11028598
9,27-Mar-17,80.82,81.43,80.79,81.25,8481162
10,24-Mar-17,82.03,82.03,81.15,81.23,9128489
11,23-Mar-17,81.63,82.22,81.46,81.86,8927991
12,22-Mar-17,81.96,82.09,81.43,81.76,11168417
13,21-Mar-17,82.16,82.35,81.6,81.83,13387665
14,20-Mar-17,81.72,82.04,81.44,82.0,7700258
15,17-Mar-17,82.03,82.26,81.82,82.0,18834129
16,16-Mar-17,82.03,82.2,81.67,82.07,9923804
17,15-Mar-17,81.35,82.06,81.04,82.0,11970300
18,14-Mar-17,81.0,81.23,80.44,80.99,11335678
19,13-Mar-17,81.5,81.94,81.05,81.42,9571361
20,10-Mar-17,82.44,82.47,81.16,81.61,11355151
21,9-Mar-17,80.64,81.72,80.31,81.67,14721795
22,8-Mar-17,82.35,82.38,81.01,81.03,16817743
23,7-Mar-17,83.11,83.29,82.14,82.52,12711508
24,6-Mar-17,82.44,82.9,82.33,82.83,9617240
25,3-Mar-17,83.56,83.6,82.26,82.46,12304096
26,2-Mar-17,82.8,84.25,82.79,83.3,14170309
27,1-Mar-17,81.7,83.33,81.7,83.02,17482122
28,28-Feb-17,81.53,81.99,81.05,81.32,16834163
29,27-Feb-17,81.13,81.71,80.81,81.54,13465948
30,24-Feb-17,81.6,81.8,80.76,81.08,11338715
31,23-Feb-17,81.42,82.22,81.03,81.78,13847038
32,22-Feb-17,81.65,81.7,80.87,80.93,12917374
33,21-Feb-17,82.12,82.15,81.3,81.89,16419612
34,17-Feb-17,82.09,82.19,81.44,81.76,15645973
35,16-Feb-17,83.12,83.42,82.17,82.3,10614956
36,15-Feb-17,82.64,83.18,82.46,83.16,11768513
37,14-Feb-17,82.91,83.1,82.06,82.82,11370525
38,13-Feb-17,82.77,83.18,82.35,83.0,9071638
39,10-Feb-17,82.26,82.77,82.13,82.52,8739814
40,9-Feb-17,81.8,82.05,81.66,81.84,9602988
41,8-Feb-17,81.99,82.12,81.17,81.48,14006281
42,7-Feb-17,83.23,83.62,82.45,82.77,11705199
43,6-Feb-17,83.55,83.65,82.93,83.31,9938198
44,3-Feb-17,83.7,83.72,82.9,83.54,12746286
45,2-Feb-17,83.21,83.53,82.55,83.45,12200100
46,1-Feb-17,84.0,84.16,82.54,82.94,15111832
47,31-Jan-17,85.04,85.07,83.13,83.89,19128106
48,30-Jan-17,85.42,85.45,84.18,84.86,12789183
49,27-Jan-17,85.3,85.75,85.04,85.51,10947882
50,26-Jan-17,85.69,85.83,85.12,85.6,8779446
51,25-Jan-17,85.34,85.88,85.25,85.34,9578522
52,24-Jan-17,84.98,85.47,84.82,85.09,11858111
53,23-Jan-17,85.68,85.88,84.75,84.97,11433897
54,20-Jan-17,85.44,85.96,85.05,85.89,18739659
55,19-Jan-17,85.97,86.1,84.59,84.73,16382903
56,18-Jan-17,87.06,87.41,86.05,86.28,11831695
57,17-Jan-17,86.58,87.39,86.25,87.36,13237348
58,13-Jan-17,86.27,86.68,86.17,86.35,8415603
59,12-Jan-17,87.27,87.38,86.07,86.34,10407049
60,11-Jan-17,85.9,86.95,85.86,86.81,11183689
61,10-Jan-17,87.17,87.31,85.91,85.93,13283083
62,9-Jan-17,88.22,88.22,86.55,87.04,13762259
63,6-Jan-17,88.79,88.98,87.82,88.5,16518128
64,5-Jan-17,90.19,90.3,88.44,88.55,14443183
65,4-Jan-17,91.12,91.15,89.75,89.89,9434240
66,3-Jan-17,90.94,91.34,90.15,90.89,10360622
67,30-Dec-16,90.03,90.7,90.01,90.26,9117830
68,29-Dec-16,90.1,90.6,90.03,90.35,6684661
69,28-Dec-16,90.68,91.11,90.26,90.3,6745940
